uf,codmun,cidade,pop_tcu_2016,pop_dou_2017,tcg_2016_2017,remanej_limitesmunicip,regiao
PA,1501956,CACHOEIRA DO PIRIÁ,32139,32947,2.51%,NÃO,Norte
PA,1502004,CACHOEIRA DO ARARI,22786,23110,1.42%,NÃO,Norte
PA,1502103,CAMETÁ,132515,134100,1.20%,NÃO,Norte
PA,1502152,CANAÃ DOS CARAJÁS,34853,36027,3.37%,NÃO,Norte
PA,1502202,CAPANEMA,66759,67150,0.59%,NÃO,Norte
PA,1502301,CAPITÃO POÇO,52768,52839,0.13%,NÃO,Norte
PA,1502400,CASTANHAL,192571,195253,1.39%,NÃO,Norte
PA,1502509,CHAVES,22821,23066,1.07%,NÃO,Norte
PA,1502608,COLARES,11721,11759,0.32%,NÃO,Norte
PA,1502707,CONCEIÇÃO DO ARAGUAIA,46485,46571,0.19%,NÃO,Norte
PA,1502756,CONCÓRDIA DO PARÁ,31884,32395,1.60%,NÃO,Norte
PA,1502764,CUMARU DO NORTE,12765,13093,2.57%,NÃO,Norte
PA,1502772,CURIONÓPOLIS,17578,17453,-0.71%,NÃO,Norte
PA,1502806,CURRALINHO,32881,33490,1.85%,NÃO,Norte
PA,1502855,CURUÁ,13783,13996,1.55%,NÃO,Norte
PA,1502905,CURUÇÁ,38391,38959,1.48%,NÃO,Norte
PA,1502939,DOM ELISEU,57251,58071,1.43%,NÃO,Norte
PA,1502954,ELDORADO DO CARAJÁS,32780,32892,0.34%,NÃO,Norte
PA,1503002,FARO,7168,7009,-2.22%,NÃO,Norte
PA,1503044,FLORESTA DO ARAGUAIA,19508,19746,1.22%,NÃO,Norte
PA,1503077,GARRAFÃO DO NORTE,25345,25363,0.07%,NÃO,Norte
PA,1503093,GOIANÉSIA DO PARÁ,38677,39352,1.75%,NÃO,Norte
PA,1503101,GURUPÁ,32049,32458,1.28%,NÃO,Norte
PA,1503200,IGARAPÉ-AÇU,37547,37753,0.55%,NÃO,Norte
PA,1503309,IGARAPÉ-MIRI,60675,60994,0.53%,NÃO,Norte
PA,1503408,INHANGAPI,11224,11388,1.46%,NÃO,Norte
PA,1503457,IPIXUNA DO PARÁ,60433,62237,2.99%,NÃO,Norte
PA,1503507,IRITUIA,31664,31673,0.03%,NÃO,Norte
PA,1503606,ITAITUBA,98485,98523,0.04%,NÃO,Norte
PA,1503705,ITUPIRANGA,51806,51835,0.06%,NÃO,Norte
PA,1503754,JACAREACANGA,8852,8059,-8.96%,NÃO,Norte
PA,1503804,JACUNDÁ,56781,57526,1.31%,NÃO,Norte
PA,1503903,JURUTI,55179,56325,2.08%,NÃO,Norte
PA,1504000,LIMOEIRO DO AJURU,27760,28138,1.36%,NÃO,Norte
PA,1504059,MÃE DO RIO,29112,29260,0.51%,NÃO,Norte
PA,1504109,MAGALHÃES BARATA,8298,8316,0.22%,NÃO,Norte
PA,1504208,MARABÁ,266932,271594,1.75%,NÃO,Norte
PA,1504307,MARACANÃ,28668,28679,0.04%,NÃO,Norte
PA,1504406,MARAPANIM,27471,27569,0.36%,NÃO,Norte
PA,1504422,MARITUBA,125435,127858,1.93%,NÃO,Norte
PA,1504455,MEDICILÂNDIA,30315,30726,1.36%,NÃO,Norte
PA,1504505,MELGAÇO,26652,26897,0.92%,NÃO,Norte
PA,1504604,MOCAJUBA,29846,30277,1.44%,NÃO,Norte
PA,1504703,MOJU,78629,79825,1.52%,NÃO,Norte
PA,1504752,MOJUÍ DOS CAMPOS,15548,15646,0.63%,NÃO,Norte
PA,1504802,MONTE ALEGRE,56391,56466,0.13%,NÃO,Norte
PA,1504901,MUANÁ,38616,39231,1.59%,NÃO,Norte
PA,1504950,NOVA ESPERANÇA DO PIRIÁ,20727,20789,0.30%,NÃO,Norte
PA,1504976,NOVA IPIXUNA,16032,16221,1.18%,NÃO,Norte
PA,1505007,NOVA TIMBOTEUA,14791,14942,1.02%,NÃO,Norte
PA,1505031,NOVO PROGRESSO,25102,25071,-0.12%,NÃO,Norte
PA,1505064,NOVO REPARTIMENTO,72347,73802,2.01%,NÃO,Norte
PA,1505106,ÓBIDOS,50596,50727,0.26%,NÃO,Norte
PA,1505205,OEIRAS DO PARÁ,31257,31619,1.16%,NÃO,Norte
PA,1505304,ORIXIMINÁ,70071,71078,1.44%,NÃO,Norte
PA,1505403,OURÉM,17237,17356,0.69%,NÃO,Norte
PA,1505437,OURILÂNDIA DO NORTE,31359,31921,1.79%,NÃO,Norte
PA,1505486,PACAJÁ,45596,46383,1.73%,NÃO,Norte
PA,1505494,PALESTINA DO PARÁ,7404,7386,-0.24%,NÃO,Norte
PA,1505502,PARAGOMINAS,108547,110026,1.36%,NÃO,Norte
PA,1505536,PARAUAPEBAS,196259,202356,3.11%,NÃO,Norte
PA,1505551,PAU D'ARCO,5436,5341,-1.75%,NÃO,Norte
PA,1505601,PEIXE-BOI,7867,7860,-0.09%,NÃO,Norte
PA,1505635,PIÇARRA,12653,12632,-0.17%,NÃO,Norte
PA,1505650,PLACAS,29336,30109,2.63%,NÃO,Norte
PA,1505700,PONTA DE PEDRAS,29700,30219,1.75%,NÃO,Norte
PA,1505809,PORTEL,59322,60322,1.69%,NÃO,Norte
PA,1505908,PORTO DE MOZ,39246,39991,1.90%,NÃO,Norte
PA,1506005,PRAINHA,29132,29067,-0.22%,NÃO,Norte
PA,1506104,PRIMAVERA,10510,10534,0.23%,NÃO,Norte
PA,1506112,QUATIPURU,13142,13237,0.72%,NÃO,Norte
PA,1506138,REDENÇÃO,81647,82464,1.00%,NÃO,Norte
PA,1506161,RIO MARIA,17721,17705,-0.09%,NÃO,Norte
PA,1506187,RONDON DO PARÁ,50460,50925,0.92%,NÃO,Norte
PA,1506195,RURÓPOLIS,47971,49093,2.34%,NÃO,Norte
PA,1506203,SALINÓPOLIS,39328,39569,0.61%,NÃO,Norte
PA,1506302,SALVATERRA,22740,23096,1.57%,NÃO,Norte
PA,1506351,SANTA BÁRBARA DO PARÁ,20077,20492,2.07%,NÃO,Norte
PA,1506401,SANTA CRUZ DO ARARI,9635,9845,2.18%,NÃO,Norte
PA,1506500,SANTA IZABEL DO PARÁ,67686,68836,1.70%,NÃO,Norte
PA,1506559,SANTA LUZIA DO PARÁ,19348,19316,-0.17%,NÃO,Norte
PA,1506583,SANTA MARIA DAS BARREIRAS,20396,20849,2.22%,NÃO,Norte
PA,1506609,SANTA MARIA DO PARÁ,24059,24186,0.53%,NÃO,Norte
PA,1506708,SANTANA DO ARAGUAIA,68934,70764,2.65%,NÃO,Norte
PA,1506807,SANTARÉM,294447,296302,0.63%,NÃO,Norte
PA,1506906,SANTARÉM NOVO,6482,6526,0.68%,NÃO,Norte
