ANO,UF,Município,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
2010,22,BELÉM DO PIAUÍ,36.69,2.76,66.77,38.9,8.16,25.72,43.41,0.53,16.16,11.08,226.26,3284,268,0.243,0.448,0.696,0.537,0.551
2010,22,BENEDITINOS,32.71,3.41,71.82,22.6,9.59,28.99,46.15,0.55,20.26,14.9,263.09,9878,950,0.226,0.394,0.78,0.561,0.557
2010,22,BERTOLÍNIA,24.93,6.07,70.47,26.4,9.29,20.27,32.82,0.53,16.14,11.58,325.94,5287,494,0.345,0.507,0.758,0.596,0.612
2010,22,BETÂNIA DO PIAUÍ,38.63,2.14,67.1,37.6,6.07,42.15,62.59,0.54,16.89,12.96,164.69,6015,365,0.211,0.342,0.702,0.486,0.489
2010,22,BOA HORA,37.91,4.13,71.31,24.0,7.23,24.45,48.93,0.51,14.52,10.59,221.27,6289,455,0.29,0.46,0.772,0.534,0.575
2010,22,BOCAINA,22.86,6.84,71.37,23.8,11.6,23.57,34.28,0.58,23.89,15.76,366.07,4365,507,0.363,0.532,0.773,0.614,0.632
2010,22,BOM JESUS,18.17,10.47,72.93,19.6,5.26,15.83,31.29,0.62,28.42,18.0,501.14,22452,1190,0.472,0.562,0.799,0.665,0.668
2010,22,BOM PRINCÍPIO DO PIAUÍ,34.36,2.78,71.19,24.3,7.62,33.09,56.16,0.57,21.42,14.97,211.44,5302,404,0.218,0.372,0.77,0.526,0.532
2010,22,BONFIM DO PIAUÍ,33.23,3.1,67.42,36.5,8.23,22.6,40.59,0.45,9.8,8.23,233.05,5389,444,0.243,0.415,0.707,0.542,0.542
2010,22,BOQUEIRÃO DO PIAUÍ,32.8,2.28,68.71,32.0,10.17,25.65,40.01,0.5,14.7,11.11,253.4,6163,630,0.242,0.434,0.729,0.555,0.56
2010,22,BRASILEIRA,36.63,3.01,70.1,27.5,8.77,20.72,33.7,0.48,12.44,9.43,281.71,7940,699,0.249,0.446,0.752,0.572,0.577
2010,22,BREJO DO PIAUÍ,38.08,1.89,68.49,32.8,8.0,26.39,49.09,0.52,15.52,11.62,218.15,3848,308,0.2,0.354,0.725,0.531,0.515
2010,22,BURITI DOS LOPES,29.63,3.89,69.09,30.7,7.51,26.43,48.71,0.54,16.88,12.41,236.13,18947,1433,0.282,0.452,0.735,0.544,0.565
2010,22,BURITI DOS MONTES,32.29,3.42,71.78,22.7,8.88,37.07,54.09,0.57,25.14,17.77,212.72,7974,708,0.269,0.46,0.78,0.527,0.574
2010,22,CABECEIRAS DO PIAUÍ,33.63,2.53,71.11,24.5,8.69,28.73,46.24,0.53,17.34,13.87,229.86,9908,863,0.283,0.476,0.769,0.54,0.583
2010,22,CAJAZEIRAS DO PIAUÍ,30.61,3.89,70.1,27.6,8.79,25.86,45.69,0.49,12.36,10.35,210.45,3343,294,0.297,0.449,0.752,0.525,0.562
2010,22,CAJUEIRO DA PRAIA,32.67,3.16,69.36,29.8,7.94,30.61,53.52,0.63,30.68,19.44,246.88,7151,569,0.255,0.4,0.739,0.551,0.546
2010,22,CALDEIRÃO GRANDE DO PIAUÍ,34.75,3.53,69.63,29.0,8.57,23.6,45.56,0.53,15.87,11.68,262.36,5656,486,0.267,0.486,0.744,0.561,0.588
2010,22,CAMPINAS DO PIAUÍ,27.68,2.49,71.55,23.3,8.71,36.69,52.21,0.55,19.31,15.0,209.0,5397,471,0.243,0.397,0.776,0.524,0.544
2010,22,CAMPO ALEGRE DO FIDALGO,32.83,3.15,70.69,25.8,6.97,44.8,60.3,0.65,42.7,28.24,213.61,4657,327,0.242,0.385,0.762,0.528,0.537
2010,22,CAMPO GRANDE DO PIAUÍ,36.39,2.16,68.23,33.6,7.47,24.44,42.89,0.48,11.85,9.52,237.66,5589,418,0.23,0.446,0.721,0.545,0.56
2010,22,CAMPO LARGO DO PIAUÍ,38.09,3.4,70.98,24.9,6.09,41.44,61.88,0.54,17.47,12.96,158.02,6791,414,0.257,0.401,0.766,0.479,0.528
2010,22,CAMPO MAIOR,22.12,7.26,72.58,20.5,9.1,9.49,26.73,0.53,14.86,10.55,401.74,45093,4110,0.423,0.566,0.793,0.629,0.656
2010,22,CANAVIEIRA,26.93,2.6,71.67,23.0,9.1,32.09,46.03,0.51,16.23,12.91,209.47,3921,357,0.293,0.485,0.778,0.525,0.583
2010,22,CANTO DO BURITI,29.69,3.96,68.41,33.0,8.55,20.56,39.77,0.52,16.15,11.27,279.71,19967,1712,0.292,0.462,0.724,0.571,0.576
2010,22,CAPITÃO DE CAMPOS,31.42,2.42,71.35,23.9,8.32,27.12,41.95,0.51,17.03,11.88,248.79,10934,911,0.254,0.465,0.773,0.552,0.583
2010,22,CAPITÃO GERVÁSIO OLIVEIRA,31.92,2.35,68.51,32.7,8.07,40.19,54.85,0.56,24.64,18.58,182.53,3878,313,0.274,0.464,0.725,0.503,0.553
2010,22,CARACOL,35.34,3.62,71.23,24.2,6.57,37.2,53.68,0.62,36.46,24.94,221.08,10198,671,0.252,0.409,0.771,0.533,0.552
2010,22,CARAÚBAS DO PIAUÍ,43.83,1.38,71.51,23.4,7.13,45.59,62.44,0.58,25.05,17.78,158.13,5506,394,0.176,0.347,0.775,0.48,0.505
2010,22,CARIDADE DO PIAUÍ,32.22,3.79,67.89,34.8,7.27,32.55,49.1,0.53,18.19,13.19,203.34,4819,351,0.267,0.426,0.715,0.52,0.541
2010,22,CASTELO DO PIAUÍ,28.55,4.8,70.21,27.2,9.39,18.36,37.2,0.48,12.23,9.23,270.82,18306,1722,0.296,0.473,0.754,0.566,0.587
2010,22,CAXINGÓ,43.76,1.45,67.5,36.2,5.91,35.63,56.8,0.52,16.33,12.15,177.35,5025,298,0.165,0.329,0.708,0.498,0.488
2010,22,COCAL,35.77,1.18,67.72,35.4,7.38,36.81,55.61,0.56,21.82,15.85,198.58,25925,1922,0.216,0.334,0.712,0.516,0.497
