id,nome,meio,cidade,uf,estado,regiao,pais,fonte
id1060,FOLHA DE PEDRO LEOPOLDO,Jornal,Pedro Leopoldo,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1061,VOZ,Jornal,Perdões,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1062,TRIBUNA DE PIRANGA,Jornal,Piranga,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1063,A SEMANA,Jornal,Pirapora,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1064,SETIMA VILA,Jornal,Pitangui,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1065,ALTO SAO FRANCISCO,Jornal,Piumhi,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1066,JORNAL DE POÇO FUNDO,Jornal,Poço Fundo,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1067,BRAND NEWS,Jornal,Poços de Caldas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1068,JORNAL DE POÇOS,Jornal,Poços de Caldas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1069,FOLHA POPULAR,Jornal,Poços de Caldas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id107,SUL BAHIA NEWS,Online,Teixeira de Freitas,BA,Bahia,Nordeste,Brasil,Secom/PR
id1070,JORNAL DA CIDADE,Jornal,Poços de Caldas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1071,JORNAL DA MANTIQUEIRA,Jornal,Poços de Caldas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1072,ALTO RIO PARDO,Jornal,Poços de Caldas,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1073,VOZ DA LIBERDADE,Jornal,Pompéu,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1074,FOLHA DE PONTE NOVA,Jornal,Ponte Nova,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1075,POTE PRESS,Jornal,Poté,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1076,FOLHA DO VALE DO SAPUCAI,Jornal,Pouso Alegre,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1078,O BANDEIRANTE,Jornal,Pouso Alegre,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1079,DIARIO DE POUSO ALEGRE,Jornal,Pouso Alegre,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id108,TEIXEIRA NEWS,Online,Teixeira de Freitas,BA,Bahia,Nordeste,Brasil,Secom/PR
id1080,JORNAL DOMINGO,Jornal,Pouso Alegre,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1081,NOSSA TERRA,Jornal,Raposos,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1082,O LIBERAL,Jornal,Resplendor,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1083,EH.NOTICIA LINHA VERDE,Jornal,Ribeirão das Neves,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1084,INTEGRAÇAO VENDA NOVA,Jornal,Ribeirão das Neves,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
id1085,O IMPARCIAL,Jornal,Rio Pomba,MG,Minas Gerais,Sudeste,Brasil,Secom/PR
