UF,CÓDIGO MUNICÍPIO,NOME-UF,"2016
(TCU)","2017
(DOU)",TCG 2016-17,"SOFREU REMANEJAMENTO POPULACIONAL DEVIDO A ALTERAÇÃO DE LIMITES ENTRE MUNICÍPIOS, ENTRE 2016 E 2017?"
PA,1502152,Canaã dos Carajás-PA,"34,853","36,027",3.37%,NÃO
PA,1502202,Capanema-PA,"66,759","67,150",0.59%,NÃO
PA,1502301,Capitão Poço-PA,"52,768","52,839",0.13%,NÃO
PA,1502400,Castanhal-PA,"192,571","195,253",1.39%,NÃO
PA,1502509,Chaves-PA,"22,821","23,066",1.07%,NÃO
PA,1502608,Colares-PA,"11,721","11,759",0.32%,NÃO
PA,1502707,Conceição do Araguaia-PA,"46,485","46,571",0.19%,NÃO
PA,1502756,Concórdia do Pará-PA,"31,884","32,395",1.60%,NÃO
PA,1502764,Cumaru do Norte-PA,"12,765","13,093",2.57%,NÃO
PA,1502772,Curionópolis-PA,"17,578","17,453",-0.71%,NÃO
PA,1502806,Curralinho-PA,"32,881","33,490",1.85%,NÃO
PA,1502855,Curuá-PA,"13,783","13,996",1.55%,NÃO
PA,1502905,Curuçá-PA,"38,391","38,959",1.48%,NÃO
PA,1502939,Dom Eliseu-PA,"57,251","58,071",1.43%,NÃO
PA,1502954,Eldorado do Carajás-PA,"32,780","32,892",0.34%,NÃO
PA,1503002,Faro-PA,"7,168","7,009",-2.22%,NÃO
PA,1503044,Floresta do Araguaia-PA,"19,508","19,746",1.22%,NÃO
PA,1503077,Garrafão do Norte-PA,"25,345","25,363",0.07%,NÃO
PA,1503093,Goianésia do Pará-PA,"38,677","39,352",1.75%,NÃO
PA,1503101,Gurupá-PA,"32,049","32,458",1.28%,NÃO
PA,1503200,Igarapé-Açu-PA,"37,547","37,753",0.55%,NÃO
PA,1503309,Igarapé-Miri-PA,"60,675","60,994",0.53%,NÃO
PA,1503408,Inhangapi-PA,"11,224","11,388",1.46%,NÃO
PA,1503457,Ipixuna do Pará-PA,"60,433","62,237",2.99%,NÃO
PA,1503507,Irituia-PA,"31,664","31,673",0.03%,NÃO
PA,1503606,Itaituba-PA,"98,485","98,523",0.04%,NÃO
PA,1503705,Itupiranga-PA,"51,806","51,835",0.06%,NÃO
PA,1503754,Jacareacanga-PA,"8,852","8,059",-8.96%,NÃO
PA,1503804,Jacundá-PA,"56,781","57,526",1.31%,NÃO
PA,1503903,Juruti-PA,"55,179","56,325",2.08%,NÃO
PA,1504000,Limoeiro do Ajuru-PA,"27,760","28,138",1.36%,NÃO
PA,1504059,Mãe do Rio-PA,"29,112","29,260",0.51%,NÃO
PA,1504109,Magalhães Barata-PA,"8,298","8,316",0.22%,NÃO
PA,1504208,Marabá-PA,"266,932","271,594",1.75%,NÃO
PA,1504307,Maracanã-PA,"28,668","28,679",0.04%,NÃO
PA,1504406,Marapanim-PA,"27,471","27,569",0.36%,NÃO
PA,1504422,Marituba-PA,"125,435","127,858",1.93%,NÃO
PA,1504455,Medicilândia-PA,"30,315","30,726",1.36%,NÃO
PA,1504505,Melgaço-PA,"26,652","26,897",0.92%,NÃO
PA,1504604,Mocajuba-PA,"29,846","30,277",1.44%,NÃO
PA,1504703,Moju-PA,"78,629","79,825",1.52%,NÃO
PA,1504752,Mojuí dos Campos-PA,"15,548","15,646",0.63%,NÃO
PA,1504802,Monte Alegre-PA,"56,391","56,466",0.13%,NÃO
PA,1504901,Muaná-PA,"38,616","39,231",1.59%,NÃO
PA,1504950,Nova Esperança do Piriá-PA,"20,727","20,789",0.30%,NÃO
PA,1504976,Nova Ipixuna-PA,"16,032","16,221",1.18%,NÃO
PA,1505007,Nova Timboteua-PA,"14,791","14,942",1.02%,NÃO
PA,1505031,Novo Progresso-PA,"25,102","25,071",-0.12%,NÃO
PA,1505064,Novo Repartimento-PA,"72,347","73,802",2.01%,NÃO
PA,1505106,Óbidos-PA,"50,596","50,727",0.26%,NÃO
PA,1505205,Oeiras do Pará-PA,"31,257","31,619",1.16%,NÃO
PA,1505304,Oriximiná-PA,"70,071","71,078",1.44%,NÃO
PA,1505403,Ourém-PA,"17,237","17,356",0.69%,NÃO
PA,1505437,Ourilândia do Norte-PA,"31,359","31,921",1.79%,NÃO
PA,1505486,Pacajá-PA,"45,596","46,383",1.73%,NÃO
PA,1505494,Palestina do Pará-PA,"7,404","7,386",-0.24%,NÃO
PA,1505502,Paragominas-PA,"108,547","110,026",1.36%,NÃO
PA,1505536,Parauapebas-PA,"196,259","202,356",3.11%,NÃO
PA,1505551,Pau D'Arco-PA,"5,436","5,341",-1.75%,NÃO
PA,1505601,Peixe-Boi-PA,"7,867","7,860",-0.09%,NÃO
PA,1505635,Piçarra-PA,"12,653","12,632",-0.17%,NÃO
PA,1505650,Placas-PA,"29,336","30,109",2.63%,NÃO
PA,1505700,Ponta de Pedras-PA,"29,700","30,219",1.75%,NÃO
PA,1505809,Portel-PA,"59,322","60,322",1.69%,NÃO
PA,1505908,Porto de Moz-PA,"39,246","39,991",1.90%,NÃO
PA,1506005,Prainha-PA,"29,132","29,067",-0.22%,NÃO
PA,1506104,Primavera-PA,"10,510","10,534",0.23%,NÃO
PA,1506112,Quatipuru-PA,"13,142","13,237",0.72%,NÃO
PA,1506138,Redenção-PA,"81,647","82,464",1.00%,NÃO
PA,1506161,Rio Maria-PA,"17,721","17,705",-0.09%,NÃO
PA,1506187,Rondon do Pará-PA,"50,460","50,925",0.92%,NÃO
PA,1506195,Rurópolis-PA,"47,971","49,093",2.34%,NÃO
PA,1506203,Salinópolis-PA,"39,328","39,569",0.61%,NÃO
PA,1506302,Salvaterra-PA,"22,740","23,096",1.57%,NÃO
PA,1506351,Santa Bárbara do Pará-PA,"20,077","20,492",2.07%,NÃO
PA,1506401,Santa Cruz do Arari-PA,"9,635","9,845",2.18%,NÃO
PA,1506500,Santa Izabel do Pará-PA,"67,686","68,836",1.70%,NÃO
PA,1506559,Santa Luzia do Pará-PA,"19,348","19,316",-0.17%,NÃO
PA,1506583,Santa Maria das Barreiras-PA,"20,396","20,849",2.22%,NÃO
PA,1506609,Santa Maria do Pará-PA,"24,059","24,186",0.53%,NÃO
PA,1506708,Santana do Araguaia-PA,"68,934","70,764",2.65%,NÃO
PA,1506807,Santarém-PA,"294,447","296,302",0.63%,NÃO
PA,1506906,Santarém Novo-PA,"6,482","6,526",0.68%,NÃO
PA,1507003,Santo Antônio do Tauá-PA,"30,129","30,611",1.60%,NÃO
PA,1507102,São Caetano de Odivelas-PA,"17,492","17,563",0.41%,NÃO
PA,1507151,São Domingos do Araguaia-PA,"24,659","24,859",0.81%,NÃO
PA,1507201,São Domingos do Capim-PA,"30,987","31,123",0.44%,NÃO
PA,1507300,São Félix do Xingu-PA,"120,580","124,806",3.50%,NÃO
PA,1507409,São Francisco do Pará-PA,"15,418","15,454",0.23%,NÃO
PA,1507458,São Geraldo do Araguaia-PA,"24,394","24,188",-0.84%,NÃO
PA,1507466,São João da Ponta-PA,"5,884","5,970",1.46%,NÃO
PA,1507474,São João de Pirabas-PA,"22,207","22,415",0.94%,NÃO
PA,1507508,São João do Araguaia-PA,"13,569","13,616",0.35%,NÃO
PA,1507607,São Miguel do Guamá-PA,"56,667","57,364",1.23%,NÃO
PA,1507706,São Sebastião da Boa Vista-PA,"25,540","25,904",1.43%,NÃO
