id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte
id3969,Jornal,O INTERIOR FALA,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3970,Jornal,FOLHA DE NOTICIAS,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3971,Jornal,O FOCO,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id3972,Jornal,FOLHA DE ANGATUBA,ANGATUBA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id1991,Jornal,A VOZ DA COSTA VERDE,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR
id1992,Jornal,MARE,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR
id1993,Jornal,ESPORTE TOTAL E NOTICIAS,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR
id1994,Jornal,A CIDADE,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR
id1995,Jornal,TRIBUNA LIVRE,ANGRA DOS REIS,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR
id5371,Jornal,CORREIO DOS LAGOS,ANITA GARIBALDI,n/d,SC,Santa Catarina,Sul,Brasil,Adjori-Sc
id1634,Jornal,O ANTONINENSE,ANTONINA,n/d,PR,Paraná,Sul,Brasil,Secom/PR
id5157,Jornal,PANORAMA PRADENSE,ANTÔNIO PRADO,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs
id3973,Jornal,O APARECIDA,APARECIDA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR
id507,Online,PORTAL BRASIL EM FOLHAS,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id508,Online,VITORIA FM,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id509,Online,DIÁRIO DE APARECIDA,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id510,Online,FINA E RICA,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id5630,Jornal,BRASIL EM FOLHAS,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Central de Diários
id565,Jornal,EDUCAÇAO E CIDADANIA,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id566,Jornal,NOTICIAS DE GOIAS,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id567,Jornal,ONZE DE MAIO,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id568,Jornal,GOIAS EM DESTAQUE,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id569,Jornal,CORREIO O ESTADO DE GOIAS,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id570,Jornal,DIARIO DE APARECIDA,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id571,Jornal,FOLHA DE APARECIDA,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id572,Jornal,O PARLAMENTO,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
id573,Jornal,CIDADE METROPOLITANA,APARECIDA DE GOIÂNIA,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR
