meio,cidade,Codmun6,Codmun7,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
Jornal,SÃO GONÇALO,330490.0,3304904.0,7,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,996948.0,669.3,0.645,0.739,0.681,0.833,0.711
Jornal,ANDRADINA,350210.0,3502101.0,7,n/d,SP,São Paulo,Sudeste,Brasil,54242.0,919.36,0.58,0.779,0.702,0.885,0.762
Jornal,GUARATINGUETÁ,351840.0,3518404.0,7,n/d,SP,São Paulo,Sudeste,Brasil,111540.0,926.78,0.673,0.798,0.751,0.886,0.764
Jornal,JUNDIAÍ,352590.0,3525904.0,7,n/d,SP,São Paulo,Sudeste,Brasil,368777.0,1431.55,0.674,0.822,0.768,0.866,0.834
Jornal,MARÍLIA,352900.0,3529005.0,7,n/d,SP,São Paulo,Sudeste,Brasil,213999.0,953.2,0.673,0.798,0.776,0.854,0.768
Jornal,OURINHOS,353470.0,3534708.0,7,n/d,SP,São Paulo,Sudeste,Brasil,102702.0,868.91,0.601,0.778,0.727,0.859,0.753
Jornal,POÁ,353980.0,3539806.0,7,RM São Paulo,SP,São Paulo,Sudeste,Brasil,105717.0,664.31,0.677,0.771,0.754,0.856,0.71
Jornal,SÃO JOSÉ DO RIO PRETO,354980.0,3549805.0,7,n/d,SP,São Paulo,Sudeste,Brasil,405342.0,1169.16,0.661,0.797,0.748,0.846,0.801
Jornal,SOROCABA,355220.0,3552205.0,7,n/d,SP,São Paulo,Sudeste,Brasil,581667.0,1107.19,0.677,0.798,0.762,0.843,0.792
Jornal,CASCAVEL,410480.0,4104808.0,7,n/d,PR,Paraná,Sul,Brasil,281772.0,1003.38,0.63,0.782,0.728,0.846,0.776
Jornal,BRAÇO DO NORTE,420280.0,4202800.0,7,n/d,SC,Santa Catarina,Sul,Brasil,28879.0,831.77,0.59,0.778,0.716,0.881,0.746
Jornal,INDAIAL,420750.0,4207502.0,7,n/d,SC,Santa Catarina,Sul,Brasil,54716.0,945.33,0.574,0.777,0.701,0.873,0.767
Jornal,ITAPEMA,420830.0,4208302.0,7,n/d,SC,Santa Catarina,Sul,Brasil,45573.0,1078.48,0.656,0.796,0.727,0.881,0.788
Jornal,LAGES,420930.0,4209300.0,7,n/d,SC,Santa Catarina,Sul,Brasil,156106.0,878.34,0.608,0.77,0.697,0.867,0.755
Jornal,LAGUNA,420940.0,4209409.0,7,n/d,SC,Santa Catarina,Sul,Brasil,51471.0,684.42,0.536,0.752,0.682,0.871,0.715
Jornal,SÃO BENTO DO SUL,421580.0,4215802.0,7,n/d,SC,Santa Catarina,Sul,Brasil,74503.0,923.29,0.634,0.782,0.719,0.871,0.763
Jornal,SÃO MIGUEL DO OESTE,421720.0,4217204.0,7,n/d,SC,Santa Catarina,Sul,Brasil,36117.0,1072.6,0.611,0.801,0.739,0.884,0.787
Jornal,VIDEIRA,421930.0,4219309.0,7,n/d,SC,Santa Catarina,Sul,Brasil,46820.0,978.07,0.592,0.764,0.675,0.857,0.772
Jornal,BENTO GONÇALVES,430210.0,4302105.0,7,n/d,RS,Rio Grande do Sul,Sul,Brasil,106666.0,1196.56,0.614,0.778,0.695,0.842,0.805
Jornal,GUAÍBA,430930.0,4309308.0,7,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,95003.0,758.83,0.6,0.73,0.639,0.833,0.732
Jornal,NOVO HAMBURGO,431340.0,4313409.0,7,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237941.0,1011.62,0.552,0.747,0.629,0.852,0.778
Jornal,ANÁPOLIS,520110.0,5201108.0,7,n/d,GO,Goiás,Centro-Oeste,Brasil,333067.0,785.17,0.609,0.737,0.66,0.822,0.737
Jornal,NATAL,240810.0,2408102.0,6,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,797986.0,950.34,0.659,0.763,0.694,0.835,0.768
Jornal,JOÃO PESSOA,250750.0,2507507.0,6,n/d,PB,Paraíba,Nordeste,Brasil,713290.0,964.82,0.663,0.763,0.693,0.832,0.77
Jornal,ARACAJU,280030.0,2800308.0,6,n/d,SE,Sergipe,Nordeste,Brasil,565274.0,1052.03,0.695,0.77,0.708,0.823,0.784
Jornal,MURIAÉ,314390.0,3143906.0,6,n/d,MG,Minas Gerais,Sudeste,Brasil,99937.0,758.46,0.477,0.734,0.634,0.853,0.731
Jornal,UBERLÂNDIA,317020.0,3170206.0,6,n/d,MG,Minas Gerais,Sudeste,Brasil,600747.0,1001.45,0.646,0.789,0.716,0.885,0.776
Jornal,CABO FRIO,330070.0,3300704.0,6,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,185301.0,815.75,0.606,0.735,0.64,0.836,0.743
Jornal,ITAPERUNA,330220.0,3302205.0,6,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,94954.0,688.83,0.536,0.73,0.649,0.837,0.716
