cidade,Codmun6,Codmun7,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
CABO FRIO,330070.0,3300704.0,9,4.86,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,185301.0,815.75,0.606,0.735,0.64,0.836,0.743
GUARAPUAVA,410940.0,4109401.0,8,4.82,n/d,PR,Paraná,Sul,Brasil,165849.0,750.09,0.519,0.731,0.628,0.853,0.73
RIO BRANCO,120040.0,1200401.0,16,4.8,n/d,AC,Acre,Norte,Brasil,333052.0,744.67,0.607,0.727,0.661,0.798,0.729
GUARAPARI,320240.0,3202405.0,5,4.78,n/d,ES,Espírito Santo,Sudeste,Brasil,104656.0,830.51,0.564,0.731,0.626,0.837,0.746
BOTUCATU,350750.0,3507506.0,6,4.73,n/d,SP,São Paulo,Sudeste,Brasil,126813.0,1089.1,0.653,0.8,0.746,0.869,0.79
MARICÁ,330270.0,3302700.0,6,4.72,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,127228.0,910.41,0.655,0.765,0.692,0.85,0.761
MARÍLIA,352900.0,3529005.0,10,4.67,n/d,SP,São Paulo,Sudeste,Brasil,213999.0,953.2,0.673,0.798,0.776,0.854,0.768
POUSO ALEGRE,315250.0,3152501.0,6,4.63,n/d,MG,Minas Gerais,Sudeste,Brasil,129577.0,878.26,0.619,0.774,0.704,0.872,0.755
CASCAVEL,410480.0,4104808.0,13,4.61,n/d,PR,Paraná,Sul,Brasil,281772.0,1003.38,0.63,0.782,0.728,0.846,0.776
JAÚ,352530.0,3525300.0,6,4.61,n/d,SP,São Paulo,Sudeste,Brasil,130260.0,951.17,0.572,0.778,0.693,0.886,0.768
RIO VERDE,521880.0,5218805.0,8,4.56,n/d,GO,Goiás,Centro-Oeste,Brasil,175474.0,936.75,0.556,0.754,0.656,0.853,0.765
SINOP,510790.0,5107909.0,5,4.46,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,112124.0,877.68,0.571,0.754,0.682,0.832,0.755
CURITIBA,410690.0,4106902.0,77,4.42,RM Curitiba,PR,Paraná,Sul,Brasil,1740948.0,1581.04,0.74,0.823,0.768,0.855,0.85
BAURU,350600.0,3506003.0,15,4.42,n/d,SP,São Paulo,Sudeste,Brasil,339422.0,1163.86,0.672,0.801,0.752,0.854,0.8
PASSO FUNDO,431410.0,4314100.0,8,4.36,n/d,RS,Rio Grande do Sul,Sul,Brasil,183407.0,1068.95,0.663,0.776,0.699,0.849,0.787
SÃO JOSÉ,421660.0,4216602.0,9,4.31,n/d,SC,Santa Catarina,Sul,Brasil,208673.0,1157.43,0.728,0.809,0.752,0.88,0.799
CAMPO GRANDE,500270.0,5002704.0,33,4.24,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,777917.0,1089.37,0.667,0.784,0.724,0.844,0.79
SETE LAGOAS,316720.0,3167202.0,9,4.22,n/d,MG,Minas Gerais,Sudeste,Brasil,213087.0,809.26,0.59,0.76,0.705,0.84,0.742
SÃO LEOPOLDO,431870.0,4318705.0,9,4.22,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,213161.0,939.93,0.599,0.739,0.612,0.861,0.766
VIAMÃO,432300.0,4323002.0,10,4.21,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237679.0,707.05,0.576,0.717,0.591,0.866,0.72
NOVO HAMBURGO,431340.0,4313409.0,10,4.2,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237941.0,1011.62,0.552,0.747,0.629,0.852,0.778
