cidade,jornal,online,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
SÃO VICENTE,3,0,n/d,SP,São Paulo,Sudeste,Brasil,330341.0,789.32,0.65,0.768,0.716,0.857,0.738
TREMEMBÉ,3,0,n/d,SP,São Paulo,Sudeste,Brasil,37302.0,959.88,0.637,0.785,0.72,0.873,0.769
TUPÃ,3,1,n/d,SP,São Paulo,Sudeste,Brasil,62563.0,926.96,0.587,0.771,0.704,0.852,0.764
VARGEM GRANDE DO SUL,3,0,n/d,SP,São Paulo,Sudeste,Brasil,39159.0,711.6,0.469,0.737,0.643,0.863,0.721
VINHEDO,3,0,n/d,SP,São Paulo,Sudeste,Brasil,63120.0,1493.32,0.666,0.817,0.739,0.878,0.84
GURUPI,3,1,n/d,TO,Tocantins,Norte,Brasil,76292.0,778.9,0.655,0.759,0.706,0.843,0.736
ALAGOINHAS,2,1,n/d,BA,Bahia,Nordeste,Brasil,141312.0,553.17,0.575,0.683,0.592,0.79,0.681
CANDEIAS,2,2,RM Salvador,BA,Bahia,Nordeste,Brasil,82844.0,462.57,0.563,0.691,0.616,0.823,0.652
ILHÉUS,2,0,n/d,BA,Bahia,Nordeste,Brasil,183184.0,579.46,0.528,0.69,0.59,0.808,0.688
VITÓRIA DA CONQUISTA,2,2,n/d,BA,Bahia,Nordeste,Brasil,304599.0,555.66,0.493,0.678,0.581,0.788,0.681
NOVA RUSSAS,2,0,n/d,CE,Ceará,Nordeste,Brasil,30864.0,304.52,0.353,0.614,0.524,0.754,0.585
BARRA DE SÃO FRANCISCO,2,0,n/d,ES,Espírito Santo,Sudeste,Brasil,40014.0,527.84,0.43,0.683,0.58,0.815,0.673
MONTANHA,2,0,n/d,ES,Espírito Santo,Sudeste,Brasil,17637.0,547.46,0.376,0.667,0.535,0.816,0.679
PIÚMA,2,0,n/d,ES,Espírito Santo,Sudeste,Brasil,18011.0,629.9,0.541,0.727,0.643,0.852,0.702
SERRA,2,1,n/d,ES,Espírito Santo,Sudeste,Brasil,407614.0,705.89,0.614,0.739,0.664,0.844,0.72
CERES,2,1,n/d,GO,Goiás,Centro-Oeste,Brasil,20620.0,865.23,0.585,0.775,0.733,0.842,0.753
GOIATUBA,2,0,n/d,GO,Goiás,Centro-Oeste,Brasil,32149.0,785.84,0.487,0.725,0.627,0.825,0.737
ITABERAÍ,2,0,n/d,GO,Goiás,Centro-Oeste,Brasil,35260.0,773.67,0.45,0.719,0.61,0.828,0.735
ITAPACI,2,0,n/d,GO,Goiás,Centro-Oeste,Brasil,18336.0,705.2,0.461,0.725,0.626,0.844,0.72
MINAÇU,2,0,n/d,GO,Goiás,Centro-Oeste,Brasil,30927.0,590.7,0.498,0.707,0.637,0.803,0.691
NERÓPOLIS,2,0,n/d,GO,Goiás,Centro-Oeste,Brasil,24095.0,555.47,0.548,0.721,0.671,0.82,0.681
NOVO GAMA,2,0,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,94781.0,498.44,0.502,0.684,0.567,0.851,0.664
SANTO ANTÔNIO DO DESCOBERTO,2,0,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,63019.0,449.39,0.464,0.665,0.556,0.818,0.647
SÃO SIMÃO,2,0,n/d,GO,Goiás,Centro-Oeste,Brasil,16837.0,883.78,0.47,0.72,0.599,0.825,0.756
URUAÇU,2,0,n/d,GO,Goiás,Centro-Oeste,Brasil,36540.0,797.52,0.498,0.737,0.628,0.86,0.74
IMPERATRIZ,2,0,n/d,MA,Maranhão,Nordeste,Brasil,246317.0,613.87,0.617,0.731,0.698,0.803,0.697
ANDRADAS,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,37150.0,754.39,0.425,0.734,0.617,0.878,0.731
BAEPENDI,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,18097.0,497.21,0.408,0.681,0.57,0.833,0.664
BARBACENA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,124847.0,854.27,0.569,0.769,0.687,0.881,0.751
BOM DESPACHO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,45489.0,809.9,0.522,0.75,0.661,0.861,0.742
BORDA DA MATA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,17033.0,635.37,0.448,0.73,0.64,0.865,0.703
BRUMADINHO,2,0,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,33754.0,910.31,0.503,0.747,0.639,0.857,0.761
CAMPO BELO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,51235.0,646.71,0.44,0.711,0.586,0.868,0.706
CAPELINHA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,34552.0,432.55,0.364,0.653,0.527,0.824,0.641
CARMO DO PARANAÍBA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,29357.0,678.13,0.383,0.705,0.571,0.861,0.713
CARMO DO RIO CLARO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,20308.0,685.17,0.469,0.733,0.649,0.85,0.715
CAXAMBU,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,21489.0,963.25,0.535,0.743,0.629,0.848,0.77
DIAMANTINA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,45453.0,597.41,0.513,0.716,0.632,0.839,0.693
DIVINO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,18917.0,426.94,0.278,0.605,0.421,0.823,0.639
EXTREMA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,28466.0,745.21,0.508,0.732,0.633,0.849,0.729
GUANHÃES,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,31146.0,560.99,0.404,0.686,0.576,0.82,0.683
ITABIRITO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,45260.0,784.55,0.561,0.73,0.638,0.828,0.737
ITAJUBÁ,2,1,n/d,MG,Minas Gerais,Sudeste,Brasil,89914.0,948.2,0.645,0.787,0.718,0.884,0.767
ITUIUTABA,2,2,n/d,MG,Minas Gerais,Sudeste,Brasil,96689.0,824.46,0.513,0.739,0.644,0.84,0.745
ITURAMA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,34074.0,753.23,0.521,0.747,0.674,0.848,0.73
JANUÁRIA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,65174.0,359.19,0.445,0.658,0.568,0.82,0.611
LAVRAS,2,1,n/d,MG,Minas Gerais,Sudeste,Brasil,91582.0,889.65,0.618,0.782,0.719,0.88,0.757
LEOPOLDINA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,50929.0,609.5,0.506,0.726,0.635,0.867,0.696
NOVA LIMA,2,1,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,80327.0,1731.84,0.66,0.813,0.704,0.885,0.864
NOVA SERRANA,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,73372.0,659.74,0.475,0.715,0.597,0.864,0.709
OURO BRANCO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,35143.0,866.02,0.622,0.764,0.68,0.872,0.753
OURO FINO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,31352.0,635.38,0.455,0.722,0.622,0.861,0.703
PARÁ DE MINAS,2,1,n/d,MG,Minas Gerais,Sudeste,Brasil,83588.0,686.42,0.505,0.725,0.628,0.848,0.715
RIBEIRÃO DAS NEVES,2,0,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,291880.0,479.77,0.462,0.684,0.591,0.822,0.658
SACRAMENTO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,23718.0,732.35,0.465,0.732,0.619,0.871,0.726
SANTA LUZIA,2,0,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,202170.0,557.62,0.53,0.715,0.625,0.859,0.682
SÃO JOÃO NEPOMUCENO,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,24912.0,608.32,0.459,0.708,0.6,0.85,0.696
TAIOBEIRAS,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,30730.0,426.91,0.391,0.67,0.578,0.815,0.639
TRÊS MARIAS,2,0,n/d,MG,Minas Gerais,Sudeste,Brasil,28231.0,645.33,0.568,0.752,0.695,0.866,0.706
VESPASIANO,2,0,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,104081.0,539.05,0.477,0.688,0.592,0.811,0.677
APARECIDA DO TABOADO,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,22216.0,692.79,0.447,0.697,0.588,0.804,0.717
AQUIDAUANA,2,1,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,45168.0,585.62,0.469,0.688,0.562,0.84,0.69
BATAGUASSU,2,1,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,19684.0,614.34,0.467,0.71,0.606,0.847,0.698
CHAPADÃO DO SUL,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,19419.0,896.92,0.579,0.754,0.665,0.85,0.758
COSTA RICA,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,19530.0,693.05,0.481,0.706,0.606,0.811,0.717
LADÁRIO,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,19586.0,575.16,0.574,0.704,0.618,0.822,0.687
MIRANDA,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,25270.0,424.44,0.39,0.632,0.507,0.782,0.638
MUNDO NOVO,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,16947.0,652.56,0.433,0.686,0.565,0.808,0.707
NAVIRAÍ,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,45939.0,683.86,0.473,0.7,0.597,0.803,0.715
PARANAÍBA,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,39864.0,738.58,0.464,0.721,0.627,0.823,0.727
PONTA PORÃ,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,77416.0,653.36,0.486,0.701,0.598,0.812,0.708
RIBAS DO RIO PARDO,2,1,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,20451.0,552.58,0.39,0.664,0.519,0.83,0.681
RIO BRILHANTE,2,0,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,30201.0,705.6,0.474,0.715,0.59,0.861,0.72
RIO VERDE DE MATO GROSSO,2,1,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,18706.0,570.74,0.373,0.673,0.521,0.852,0.686
CHAPADA DOS GUIMARÃES,2,0,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,17704.0,540.98,0.456,0.688,0.578,0.833,0.677
JACIARA,2,1,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,25453.0,742.81,0.511,0.735,0.655,0.833,0.728
LUCAS DO RIO VERDE,2,3,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,45306.0,938.65,0.624,0.768,0.71,0.833,0.766
NOVA OLÍMPIA,2,0,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,17297.0,639.03,0.419,0.682,0.561,0.804,0.704
VÁRZEA GRANDE,2,4,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,251845.0,668.86,0.604,0.734,0.661,0.842,0.711
CASTANHAL,2,0,RM Belém,PA,Pará,Norte,Brasil,172265.0,467.32,0.536,0.673,0.582,0.8,0.654
ARARIPINA,2,0,n/d,PE,Pernambuco,Nordeste,Brasil,77085.0,324.01,0.321,0.602,0.467,0.785,0.595
CARUARU,2,0,n/d,PE,Pernambuco,Nordeste,Brasil,313111.0,553.99,0.468,0.677,0.569,0.799,0.681
ANDIRÁ,2,0,n/d,PR,Paraná,Sul,Brasil,20573.0,587.51,0.486,0.725,0.66,0.838,0.69
ARAPONGAS,2,0,n/d,PR,Paraná,Sul,Brasil,103954.0,855.02,0.567,0.748,0.669,0.834,0.751
ARAUCÁRIA,2,0,RM Curitiba,PR,Paraná,Sul,Brasil,119047.0,814.39,0.569,0.74,0.639,0.852,0.743
ASSIS CHATEAUBRIAND,2,1,n/d,PR,Paraná,Sul,Brasil,32901.0,676.1,0.467,0.729,0.633,0.857,0.713
BANDEIRANTES,2,0,n/d,PR,Paraná,Sul,Brasil,32016.0,679.72,0.514,0.727,0.658,0.819,0.714
CAMBÉ,2,0,n/d,PR,Paraná,Sul,Brasil,96541.0,723.34,0.538,0.734,0.651,0.84,0.724
CAMPINA GRANDE DO SUL,2,0,RM Curitiba,PR,Paraná,Sul,Brasil,38621.0,671.29,0.528,0.718,0.605,0.86,0.712
CASTRO,2,0,n/d,PR,Paraná,Sul,Brasil,66639.0,639.54,0.466,0.703,0.6,0.823,0.704
COLOMBO,2,0,RM Curitiba,PR,Paraná,Sul,Brasil,212419.0,682.85,0.526,0.733,0.632,0.87,0.715
CRUZEIRO DO OESTE,2,0,n/d,PR,Paraná,Sul,Brasil,20305.0,617.44,0.461,0.717,0.64,0.825,0.698
GOIOERÊ,2,2,n/d,PR,Paraná,Sul,Brasil,28869.0,707.58,0.49,0.731,0.639,0.85,0.72
GUARATUBA,2,0,n/d,PR,Paraná,Sul,Brasil,31809.0,782.92,0.517,0.717,0.604,0.828,0.737
IRATI,2,2,n/d,PR,Paraná,Sul,Brasil,55969.0,685.81,0.476,0.726,0.64,0.835,0.715
JACAREZINHO,2,1,n/d,PR,Paraná,Sul,Brasil,38787.0,770.55,0.576,0.743,0.663,0.844,0.734
JANDAIA DO SUL,2,0,n/d,PR,Paraná,Sul,Brasil,20153.0,803.28,0.544,0.747,0.703,0.801,0.741
LOANDA,2,0,n/d,PR,Paraná,Sul,Brasil,21023.0,725.67,0.499,0.725,0.645,0.815,0.724
MORRETES,2,0,n/d,PR,Paraná,Sul,Brasil,15642.0,665.51,0.462,0.686,0.544,0.837,0.71
NOVA ESPERANÇA,2,0,n/d,PR,Paraná,Sul,Brasil,26513.0,719.26,0.488,0.722,0.628,0.829,0.723
REALEZA,2,0,n/d,PR,Paraná,Sul,Brasil,16245.0,704.94,0.449,0.722,0.63,0.83,0.72
SANTA HELENA,2,0,n/d,PR,Paraná,Sul,Brasil,23338.0,791.53,0.496,0.744,0.678,0.823,0.738
SANTA TEREZINHA DE ITAIPU,2,0,n/d,PR,Paraná,Sul,Brasil,20714.0,688.34,0.527,0.738,0.689,0.814,0.716
TOLEDO,2,2,n/d,PR,Paraná,Sul,Brasil,118908.0,876.72,0.586,0.768,0.702,0.855,0.755
WENCESLAU BRAZ,2,1,n/d,PR,Paraná,Sul,Brasil,19117.0,594.42,0.436,0.687,0.594,0.79,0.692
BARRA DO PIRAÍ,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,94474.0,719.16,0.606,0.733,0.665,0.819,0.723
CACHOEIRAS DE MACACU,2,0,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,54233.0,604.45,0.515,0.7,0.603,0.817,0.695
CARMO,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,17172.0,559.66,0.5,0.696,0.608,0.813,0.683
IGUABA GRANDE,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,22831.0,818.01,0.66,0.761,0.704,0.841,0.744
ITABORAÍ,2,0,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,217364.0,584.35,0.528,0.693,0.593,0.813,0.69
MIRACEMA,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,26684.0,608.62,0.569,0.713,0.646,0.805,0.696
PATY DO ALFERES,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,26248.0,562.52,0.389,0.671,0.549,0.806,0.683
PORTO REAL,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,16563.0,577.07,0.53,0.713,0.645,0.817,0.688
QUEIMADOS,2,0,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,137712.0,484.4,0.536,0.68,0.589,0.81,0.659
SAPUCAIA,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,17497.0,558.94,0.432,0.675,0.561,0.804,0.682
SEROPÉDICA,2,0,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,77485.0,604.82,0.572,0.713,0.648,0.805,0.695
SÃO FIDÉLIS,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,37429.0,567.23,0.488,0.691,0.611,0.787,0.685
SÃO PEDRO DA ALDEIA,2,0,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,87646.0,710.04,0.578,0.712,0.626,0.801,0.721
CURRAIS NOVOS,2,0,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,42240.0,526.96,0.493,0.691,0.617,0.794,0.673
PARNAMIRIM,2,0,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,200906.0,850.44,0.682,0.766,0.726,0.825,0.75
COLORADO DO OESTE,2,0,n/d,RO,Rondônia,Norte,Brasil,18540.0,535.41,0.426,0.685,0.584,0.814,0.676
SÃO MIGUEL DO GUAPORÉ,2,0,n/d,RO,Rondônia,Norte,Brasil,21700.0,440.6,0.346,0.646,0.537,0.781,0.644
VILHENA,2,3,n/d,RO,Rondônia,Norte,Brasil,75614.0,768.98,0.554,0.731,0.659,0.808,0.734
AGUDO,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,16549.0,861.06,0.385,0.694,0.524,0.847,0.752
ARROIO DO MEIO,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,18644.0,850.06,0.51,0.769,0.706,0.86,0.75
BALNEÁRIO PINHAL,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,10824.0,662.85,0.464,0.696,0.567,0.836,0.71
CACEQUI,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,13594.0,550.88,0.487,0.7,0.626,0.807,0.68
CAMAQUÃ,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,62068.0,686.36,0.44,0.697,0.578,0.819,0.715
CARLOS BARBOSA,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,25016.0,1446.56,0.588,0.796,0.724,0.835,0.835
DOIS IRMÃOS,2,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,27406.0,921.37,0.571,0.743,0.633,0.848,0.763
DOM PEDRITO,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,38512.0,686.15,0.469,0.708,0.585,0.848,0.715
ELDORADO DO SUL,2,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,34100.0,692.0,0.581,0.717,0.609,0.844,0.717
ENCRUZILHADA DO SUL,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,24287.0,539.0,0.35,0.657,0.478,0.875,0.677
ESTEIO,2,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,80484.0,955.86,0.646,0.754,0.662,0.843,0.769
FARROUPILHA,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,63310.0,1045.05,0.601,0.777,0.696,0.861,0.783
FLORES DA CUNHA,2,2,n/d,RS,Rio Grande do Sul,Sul,Brasil,27005.0,1062.06,0.519,0.754,0.642,0.849,0.786
GETÚLIO VARGAS,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,15983.0,837.17,0.518,0.746,0.658,0.843,0.747
GUAPORÉ,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,22658.0,1035.41,0.512,0.765,0.685,0.837,0.781
JAGUARÃO,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,27734.0,616.82,0.503,0.707,0.608,0.832,0.698
JÚLIO DE CASTILHOS,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,19352.0,765.91,0.477,0.716,0.602,0.833,0.733
MUÇUM,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,4777.0,887.43,0.455,0.746,0.654,0.84,0.757
NOVA PRATA,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,22636.0,1039.74,0.568,0.766,0.686,0.839,0.782
NÃO-ME-TOQUE,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,15826.0,1051.05,0.562,0.765,0.673,0.847,0.784
PALMARES DO SUL,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,10930.0,730.31,0.467,0.715,0.592,0.852,0.725
RIO PARDO,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,37177.0,633.1,0.47,0.693,0.56,0.846,0.702
SANTA CRUZ DO SUL,2,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,117169.0,1036.87,0.619,0.773,0.693,0.852,0.782
SANTA ROSA,2,1,n/d,RS,Rio Grande do Sul,Sul,Brasil,68021.0,863.61,0.597,0.769,0.693,0.871,0.752
SANTA VITÓRIA DO PALMAR,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,30837.0,657.76,0.476,0.712,0.591,0.861,0.709
SARANDI,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,21077.0,1000.86,0.559,0.777,0.705,0.858,0.776
SOLEDADE,2,1,n/d,RS,Rio Grande do Sul,Sul,Brasil,29754.0,737.92,0.509,0.731,0.625,0.861,0.727
SÃO FRANCISCO DE PAULA,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,20170.0,628.15,0.411,0.685,0.534,0.86,0.701
SÃO SEBASTIÃO DO CAÍ,2,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,21820.0,772.04,0.53,0.739,0.646,0.852,0.734
TAQUARA,2,0,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,54139.0,871.42,0.484,0.727,0.579,0.88,0.754
TRÊS DE MAIO,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,23498.0,881.15,0.532,0.759,0.694,0.834,0.756
VENÂNCIO AIRES,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,65458.0,779.48,0.464,0.712,0.6,0.818,0.736
VERA CRUZ,2,0,n/d,RS,Rio Grande do Sul,Sul,Brasil,23914.0,790.95,0.472,0.737,0.643,0.842,0.738
VERANÓPOLIS,2,1,n/d,RS,Rio Grande do Sul,Sul,Brasil,22683.0,1141.67,0.556,0.773,0.692,0.838,0.797
ABELARDO LUZ,2,0,n/d,SC,Santa Catarina,Sul,Brasil,17016.0,562.88,0.404,0.696,0.578,0.852,0.684
APIÚNA,2,0,n/d,SC,Santa Catarina,Sul,Brasil,9564.0,776.69,0.378,0.708,0.584,0.827,0.735
BALNEÁRIO PIÇARRAS,2,0,n/d,SC,Santa Catarina,Sul,Brasil,17029.0,826.13,0.562,0.756,0.668,0.869,0.745
COCAL DO SUL,2,0,n/d,SC,Santa Catarina,Sul,Brasil,15155.0,833.24,0.606,0.78,0.74,0.859,0.747
DIONÍSIO CERQUEIRA,2,1,n/d,SC,Santa Catarina,Sul,Brasil,14753.0,636.41,0.41,0.706,0.61,0.82,0.703
FORQUILHINHA,2,0,n/d,SC,Santa Catarina,Sul,Brasil,22503.0,870.85,0.503,0.753,0.657,0.861,0.754
GASPAR,2,1,n/d,SC,Santa Catarina,Sul,Brasil,57615.0,964.36,0.558,0.765,0.655,0.889,0.77
GUABIRUBA,2,0,n/d,SC,Santa Catarina,Sul,Brasil,18414.0,851.75,0.476,0.754,0.653,0.876,0.75
ITAIÓPOLIS,2,0,n/d,SC,Santa Catarina,Sul,Brasil,20280.0,625.36,0.423,0.708,0.606,0.836,0.7
ITAPIRANGA,2,0,n/d,SC,Santa Catarina,Sul,Brasil,15363.0,942.44,0.556,0.775,0.723,0.842,0.766
ORLEANS,2,0,n/d,SC,Santa Catarina,Sul,Brasil,21373.0,844.35,0.49,0.755,0.657,0.873,0.749
PINHALZINHO,2,0,n/d,SC,Santa Catarina,Sul,Brasil,16222.0,893.85,0.552,0.783,0.716,0.886,0.758
PIRATUBA,2,1,n/d,SC,Santa Catarina,Sul,Brasil,4773.0,779.57,0.485,0.758,0.714,0.829,0.736
RIO DO CAMPO,2,1,n/d,SC,Santa Catarina,Sul,Brasil,6186.0,803.46,0.441,0.729,0.65,0.803,0.741
RIO NEGRINHO,2,1,n/d,SC,Santa Catarina,Sul,Brasil,39723.0,664.58,0.537,0.738,0.668,0.848,0.71
RODEIO,2,1,n/d,SC,Santa Catarina,Sul,Brasil,10871.0,958.15,0.447,0.754,0.626,0.889,0.769
SANTO AMARO DA IMPERATRIZ,2,0,n/d,SC,Santa Catarina,Sul,Brasil,19714.0,867.13,0.591,0.781,0.71,0.89,0.753
SÃO JOÃO BATISTA,2,0,n/d,SC,Santa Catarina,Sul,Brasil,26060.0,794.12,0.521,0.74,0.634,0.865,0.739
SÃO LOURENÇO DO OESTE,2,0,n/d,SC,Santa Catarina,Sul,Brasil,21668.0,841.27,0.527,0.749,0.695,0.807,0.748
SÃO LUDGERO,2,0,n/d,SC,Santa Catarina,Sul,Brasil,10930.0,884.18,0.564,0.755,0.683,0.834,0.756
URUSSANGA,2,0,n/d,SC,Santa Catarina,Sul,Brasil,20196.0,883.42,0.532,0.772,0.695,0.876,0.756
ALUMÍNIO,2,0,n/d,SP,São Paulo,Sudeste,Brasil,16753.0,747.27,0.639,0.766,0.732,0.841,0.729
AMERICANA,2,2,n/d,SP,São Paulo,Sudeste,Brasil,209811.0,1161.68,0.651,0.811,0.76,0.876,0.8
AMPARO,2,0,n/d,SP,São Paulo,Sudeste,Brasil,65521.0,1027.6,0.592,0.785,0.711,0.871,0.78
ARUJÁ,2,0,RM São Paulo,SP,São Paulo,Sudeste,Brasil,74649.0,910.67,0.624,0.784,0.73,0.866,0.761
BAURU,2,13,n/d,SP,São Paulo,Sudeste,Brasil,339422.0,1163.86,0.672,0.801,0.752,0.854,0.8
BOITUVA,2,0,n/d,SP,São Paulo,Sudeste,Brasil,48145.0,889.51,0.587,0.78,0.728,0.861,0.757
BRODOWSKI,2,0,n/d,SP,São Paulo,Sudeste,Brasil,21023.0,787.91,0.529,0.755,0.675,0.864,0.738
BROTAS,2,0,n/d,SP,São Paulo,Sudeste,Brasil,21515.0,722.76,0.509,0.74,0.688,0.815,0.724
BURITAMA,2,0,n/d,SP,São Paulo,Sudeste,Brasil,15350.0,779.78,0.537,0.763,0.72,0.839,0.736
CABREÚVA,2,0,n/d,SP,São Paulo,Sudeste,Brasil,41489.0,694.03,0.535,0.738,0.678,0.828,0.717
CACONDE,2,0,n/d,SP,São Paulo,Sudeste,Brasil,18434.0,627.0,0.438,0.72,0.62,0.858,0.701
CAFELÂNDIA,2,0,n/d,SP,São Paulo,Sudeste,Brasil,16509.0,680.71,0.499,0.742,0.661,0.867,0.714
CAJURU,2,0,n/d,SP,São Paulo,Sudeste,Brasil,23277.0,597.11,0.482,0.713,0.633,0.825,0.693
CAPÃO BONITO,2,0,n/d,SP,São Paulo,Sudeste,Brasil,46014.0,534.75,0.477,0.721,0.671,0.826,0.675
CARAGUATATUBA,2,2,n/d,SP,São Paulo,Sudeste,Brasil,99908.0,773.99,0.609,0.759,0.705,0.845,0.735
CATANDUVA,2,2,n/d,SP,São Paulo,Sudeste,Brasil,112210.0,945.05,0.611,0.785,0.74,0.853,0.767
CERQUEIRA CÉSAR,2,0,n/d,SP,São Paulo,Sudeste,Brasil,17288.0,665.36,0.518,0.729,0.666,0.821,0.71
COLINA,2,0,n/d,SP,São Paulo,Sudeste,Brasil,17279.0,706.69,0.545,0.757,0.712,0.845,0.72
DESCALVADO,2,0,n/d,SP,São Paulo,Sudeste,Brasil,30629.0,798.74,0.55,0.76,0.687,0.865,0.74
DOIS CÓRREGOS,2,0,n/d,SP,São Paulo,Sudeste,Brasil,24650.0,727.28,0.478,0.725,0.616,0.853,0.725
DRACENA,2,0,n/d,SP,São Paulo,Sudeste,Brasil,41992.0,862.86,0.58,0.776,0.737,0.842,0.752
