meio,cidade,Codmun6,Codmun7,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
Online,TERESINA,221100.0,2211001.0,17,n/d,PI,Piauí,Nordeste,Brasil,806168.0,757.57,0.642,0.751,0.707,0.82,0.731
Online,PALMAS,172100.0,1721000.0,16,n/d,TO,Tocantins,Norte,Brasil,225432.0,1087.35,0.746,0.788,0.749,0.827,0.789
Online,CAMPINAS,350950.0,3509502.0,14,n/d,SP,São Paulo,Sudeste,Brasil,1071983.0,1390.83,0.677,0.805,0.731,0.86,0.829
Online,BAURU,350600.0,3506003.0,13,n/d,SP,São Paulo,Sudeste,Brasil,339422.0,1163.86,0.672,0.801,0.752,0.854,0.8
Online,RECIFE,261160.0,2611606.0,12,RM Recife,PE,Pernambuco,Nordeste,Brasil,1524313.0,1144.26,0.664,0.772,0.698,0.825,0.798
Online,ARACAJU,280030.0,2800308.0,12,n/d,SE,Sergipe,Nordeste,Brasil,565274.0,1052.03,0.695,0.77,0.708,0.823,0.784
Online,VITÓRIA,320530.0,3205309.0,12,n/d,ES,Espírito Santo,Sudeste,Brasil,325399.0,1866.58,0.789,0.845,0.805,0.855,0.876
Online,NATAL,240810.0,2408102.0,11,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,797986.0,950.34,0.659,0.763,0.694,0.835,0.768
Online,SANTOS,354850.0,3548500.0,11,n/d,SP,São Paulo,Sudeste,Brasil,416553.0,1693.65,0.758,0.84,0.807,0.852,0.861
Online,FORTALEZA,230440.0,2304400.0,10,RM Fortaleza,CE,Ceará,Nordeste,Brasil,2427422.0,846.36,0.658,0.754,0.695,0.824,0.749
Online,RIBEIRÃO PRETO,354340.0,3543402.0,10,n/d,SP,São Paulo,Sudeste,Brasil,599026.0,1314.04,0.683,0.8,0.739,0.844,0.82
Online,BELÉM,150140.0,1501402.0,9,RM Belém,PA,Pará,Norte,Brasil,1385193.0,853.82,0.692,0.746,0.673,0.822,0.751
Online,RIO BRANCO,120040.0,1200401.0,8,n/d,AC,Acre,Norte,Brasil,333052.0,744.67,0.607,0.727,0.661,0.798,0.729
Online,SÃO LUÍS,211130.0,2111300.0,8,n/d,MA,Maranhão,Nordeste,Brasil,1005101.0,805.36,0.735,0.768,0.752,0.813,0.741
Online,MACEIÓ,270430.0,2704302.0,8,n/d,AL,Alagoas,Nordeste,Brasil,924611.0,792.54,0.591,0.721,0.635,0.799,0.739
Online,MOGI DAS CRUZES,353060.0,3530607.0,8,RM São Paulo,SP,São Paulo,Sudeste,Brasil,386276.0,916.81,0.662,0.783,0.74,0.851,0.762
Online,PONTA GROSSA,411990.0,4119905.0,8,n/d,PR,Paraná,Sul,Brasil,309810.0,877.1,0.614,0.763,0.703,0.837,0.755
Online,DOURADOS,500370.0,5003702.0,8,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,194084.0,866.4,0.587,0.747,0.657,0.843,0.753
Online,BARUERI,350570.0,3505708.0,7,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055.0,1095.84,0.631,0.786,0.708,0.866,0.791
Online,CRICIÚMA,420460.0,4204608.0,7,n/d,SC,Santa Catarina,Sul,Brasil,190535.0,1062.53,0.639,0.788,0.737,0.846,0.786
Online,ARARAQUARA,350320.0,3503208.0,6,n/d,SP,São Paulo,Sudeste,Brasil,206646.0,1080.66,0.687,0.815,0.782,0.877,0.788
Online,SÃO BERNARDO DO CAMPO,354870.0,3548708.0,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,761343.0,1212.65,0.702,0.805,0.752,0.861,0.807
Online,SÃO JOSÉ DOS CAMPOS,354990.0,3549904.0,6,n/d,SP,São Paulo,Sudeste,Brasil,627707.0,1190.96,0.703,0.807,0.764,0.855,0.804
Online,CASCAVEL,410480.0,4104808.0,6,n/d,PR,Paraná,Sul,Brasil,281772.0,1003.38,0.63,0.782,0.728,0.846,0.776
Online,FEIRA DE SANTANA,291080.0,2910800.0,5,n/d,BA,Bahia,Nordeste,Brasil,552741.0,662.24,0.576,0.712,0.619,0.82,0.71
Online,SANTANA DE PARNAÍBA,354730.0,3547304.0,5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108248.0,1858.69,0.657,0.814,0.725,0.849,0.876
Online,SANTO ANDRÉ,354780.0,3547809.0,5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,674948.0,1304.31,0.707,0.815,0.769,0.861,0.819
Online,SÃO CARLOS,354890.0,3548906.0,5,n/d,SP,São Paulo,Sudeste,Brasil,220666.0,1079.45,0.693,0.805,0.766,0.863,0.788
Online,LONDRINA,411370.0,4113700.0,5,n/d,PR,Paraná,Sul,Brasil,503548.0,1083.35,0.649,0.778,0.712,0.837,0.789
Online,ITAJAÍ,420820.0,4208203.0,5,n/d,SC,Santa Catarina,Sul,Brasil,182637.0,1014.0,0.646,0.795,0.73,0.884,0.778
Online,JOINVILLE,420910.0,4209102.0,5,n/d,SC,Santa Catarina,Sul,Brasil,512406.0,1126.74,0.709,0.809,0.749,0.889,0.795
Online,MACAPÁ,160030.0,1600303.0,4,n/d,AP,Amapá,Norte,Brasil,395465.0,717.88,0.679,0.733,0.663,0.82,0.723
Online,TEIXEIRA DE FREITAS,293135.0,2931350.0,4,n/d,BA,Bahia,Nordeste,Brasil,136656.0,560.73,0.503,0.685,0.588,0.8,0.683
Online,CONTAGEM,311860.0,3118601.0,4,RM Belo Horizonte,MG,Minas Gerais,Sudeste,Brasil,600466.0,824.3,0.623,0.756,0.697,0.832,0.745
Online,IPATINGA,313130.0,3131307.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,238052.0,862.91,0.625,0.771,0.705,0.864,0.752
Online,JUIZ DE FORA,313670.0,3136702.0,4,n/d,MG,Minas Gerais,Sudeste,Brasil,512779.0,1050.88,0.65,0.778,0.711,0.844,0.784
Online,DUQUE DE CAXIAS,330170.0,3301702.0,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,853747.0,592.81,0.584,0.711,0.624,0.833,0.692
Online,NITERÓI,330330.0,3303302.0,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,482950.0,2000.29,0.794,0.837,0.773,0.854,0.887
Online,GUARULHOS,351880.0,3518800.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,1213492.0,829.91,0.639,0.763,0.717,0.831,0.746
Online,ITU,352390.0,3523909.0,4,n/d,SP,São Paulo,Sudeste,Brasil,153310.0,1038.14,0.621,0.773,0.692,0.854,0.782
Online,OSASCO,353440.0,3534401.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,665237.0,1003.4,0.648,0.776,0.718,0.84,0.776
Online,PIRACICABA,353870.0,3538709.0,4,n/d,SP,São Paulo,Sudeste,Brasil,363011.0,1143.2,0.64,0.785,0.717,0.848,0.797
Online,SÃO CAETANO DO SUL,354880.0,3548807.0,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148195.0,2043.74,0.762,0.862,0.811,0.887,0.891
Online,FOZ DO IGUAÇU,410830.0,4108304.0,4,n/d,PR,Paraná,Sul,Brasil,254276.0,842.26,0.591,0.751,0.661,0.858,0.748
Online,GUARAPUAVA,410940.0,4109401.0,4,n/d,PR,Paraná,Sul,Brasil,165849.0,750.09,0.519,0.731,0.628,0.853,0.73
Online,BALNEÁRIO CAMBORIÚ,420200.0,4202008.0,4,n/d,SC,Santa Catarina,Sul,Brasil,107149.0,1625.59,0.763,0.845,0.789,0.894,0.854
Online,JARAGUÁ DO SUL,420890.0,4208906.0,4,n/d,SC,Santa Catarina,Sul,Brasil,142186.0,1111.85,0.687,0.803,0.755,0.865,0.793
Online,SÃO MIGUEL DO OESTE,421720.0,4217204.0,4,n/d,SC,Santa Catarina,Sul,Brasil,36117.0,1072.6,0.611,0.801,0.739,0.884,0.787
Online,SANTA CRUZ DO SUL,431680.0,4316808.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,117169.0,1036.87,0.619,0.773,0.693,0.852,0.782
Online,SANTA MARIA,431690.0,4316907.0,4,n/d,RS,Rio Grande do Sul,Sul,Brasil,258667.0,1127.25,0.683,0.784,0.715,0.848,0.795
Online,RONDONÓPOLIS,510760.0,5107602.0,4,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,193435.0,843.62,0.598,0.755,0.698,0.823,0.749
Online,VÁRZEA GRANDE,510840.0,5108402.0,4,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,251845.0,668.86,0.604,0.734,0.661,0.842,0.711
Online,APARECIDA DE GOIÂNIA,520140.0,5201405.0,4,n/d,GO,Goiás,Centro-Oeste,Brasil,452269.0,689.3,0.57,0.718,0.62,0.834,0.716
Online,ARIQUEMES,110002.0,1100023.0,3,n/d,RO,Rondônia,Norte,Brasil,89766.0,689.95,0.514,0.702,0.6,0.806,0.716
