cidade,cod_municipal,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
BENTO GONÇALVES,430210,7.0,6.56254101588135,n/d,RS,Rio Grande do Sul,Sul,Brasil,106666.0,1196.56,0.614,0.778,0.695,0.842,0.805
RIO CLARO,354390,12.0,6.48046140885231,n/d,SP,São Paulo,Sudeste,Brasil,185172.0,1049.16,0.671,0.803,0.766,0.862,0.784
GUARATINGUETÁ,351840,7.0,6.27577550654474,n/d,SP,São Paulo,Sudeste,Brasil,111540.0,926.78,0.673,0.798,0.751,0.886,0.764
CAMPO LARGO,410420,7.0,6.25966895293623,RM Curitiba,PR,Paraná,Sul,Brasil,111827.0,749.21,0.528,0.745,0.664,0.854,0.73
SÃO PAULO,355030,698.0,6.24742170785714,RM São Paulo,SP,São Paulo,Sudeste,Brasil,11172609.0,1516.21,0.677,0.805,0.725,0.855,0.843
DOURADOS,500370,12.0,6.18288988273119,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,194084.0,866.4,0.587,0.747,0.657,0.843,0.753
TRÊS LAGOAS,500830,6.0,5.93055322177304,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,101171.0,863.66,0.579,0.744,0.645,0.849,0.752
TEIXEIRA DE FREITAS,293135,8.0,5.85411544315654,n/d,BA,Bahia,Nordeste,Brasil,136656.0,560.73,0.503,0.685,0.588,0.8,0.683
APUCARANA,410140,7.0,5.80980362863735,n/d,PR,Paraná,Sul,Brasil,120486.0,804.81,0.548,0.748,0.668,0.845,0.741
LAGES,420930,9.0,5.76531331274903,n/d,SC,Santa Catarina,Sul,Brasil,156106.0,878.34,0.608,0.77,0.697,0.867,0.755
SANTANA DE PARNAÍBA,354730,6.0,5.54282758111004,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108248.0,1858.69,0.657,0.814,0.725,0.849,0.876
INDAIATUBA,352050,11.0,5.47239178345248,n/d,SP,São Paulo,Sudeste,Brasil,201009.0,1098.31,0.657,0.788,0.738,0.837,0.791
MOGI DAS CRUZES,353060,21.0,5.43652724994563,RM São Paulo,SP,São Paulo,Sudeste,Brasil,386276.0,916.81,0.662,0.783,0.74,0.851,0.762
ARARAQUARA,350320,11.0,5.32311295645694,n/d,SP,São Paulo,Sudeste,Brasil,206646.0,1080.66,0.687,0.815,0.782,0.877,0.788
