cidade,cod_municipal,veiculos_mapeados,vei100milh,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
LIMEIRA,352690,4.0,1.45437621804008,n/d,SP,São Paulo,Sudeste,Brasil,275032.0,910.85,0.61,0.775,0.719,0.852,0.761
QUEIMADOS,330414,2.0,1.4523062623446,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,137712.0,484.4,0.536,0.68,0.589,0.81,0.659
ARAPIRACA,270030,3.0,1.40928436539925,n/d,AL,Alagoas,Nordeste,Brasil,212874.0,423.28,0.42,0.649,0.549,0.78,0.638
GUARULHOS,351880,17.0,1.40091570442986,RM São Paulo,SP,São Paulo,Sudeste,Brasil,1213492.0,829.91,0.639,0.763,0.717,0.831,0.746
BELÉM,150140,19.0,1.3716500155574,RM Belém,PA,Pará,Norte,Brasil,1385193.0,853.82,0.692,0.746,0.673,0.822,0.751
VITÓRIA DA CONQUISTA,293330,4.0,1.31320194747849,n/d,BA,Bahia,Nordeste,Brasil,304599.0,555.66,0.493,0.678,0.581,0.788,0.681
RECIFE,261160,20.0,1.31206648503293,RM Recife,PE,Pernambuco,Nordeste,Brasil,1524313.0,1144.26,0.664,0.772,0.698,0.825,0.798
FRANCISCO MORATO,351630,2.0,1.29820393485613,RM São Paulo,SP,São Paulo,Sudeste,Brasil,154059.0,483.98,0.508,0.703,0.647,0.815,0.659
MARABÁ,150420,3.0,1.29293625824247,n/d,PA,Pará,Norte,Brasil,232030.0,527.86,0.508,0.668,0.564,0.785,0.673
ÁGUAS LINDAS DE GOIÁS,520025,2.0,1.26176596764832,RIDE DF,GO,Goiás,Centro-Oeste,Brasil,158508.0,449.38,0.488,0.686,0.588,0.848,0.647
CAMAÇARI,290570,3.0,1.23959258723633,RM Salvador,BA,Bahia,Nordeste,Brasil,242015.0,553.18,0.578,0.694,0.616,0.798,0.681
FERRAZ DE VASCONCELOS,351570,2.0,1.19032031519682,RM São Paulo,SP,São Paulo,Sudeste,Brasil,168022.0,587.83,0.585,0.738,0.703,0.828,0.691
CASTANHAL,150240,2.0,1.16100194467826,RM Belém,PA,Pará,Norte,Brasil,172265.0,467.32,0.536,0.673,0.582,0.8,0.654
PRAIA GRANDE,354100,3.0,1.14756105024787,n/d,SP,São Paulo,Sudeste,Brasil,261424.0,820.97,0.633,0.754,0.692,0.834,0.744
SALVADOR,292740,29.0,1.09407828243291,RM Salvador,BA,Bahia,Nordeste,Brasil,2650633.0,973.0,0.697,0.759,0.679,0.835,0.772
ILHÉUS,291360,2.0,1.09179841034151,n/d,BA,Bahia,Nordeste,Brasil,183184.0,579.46,0.528,0.69,0.59,0.808,0.688
CAMPOS DOS GOYTACAZES,330100,5.0,1.08555945392017,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,460592.0,682.59,0.555,0.716,0.619,0.83,0.715
DIADEMA,351380,4.0,1.03768616738397,RM São Paulo,SP,São Paulo,Sudeste,Brasil,385473.0,694.55,0.627,0.757,0.716,0.844,0.717
PARNAMIRIM,240325,2.0,0.995490428359531,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,200906.0,850.44,0.682,0.766,0.726,0.825,0.75
TRINDADE,522140,1.0,0.965167118686601,n/d,GO,Goiás,Centro-Oeste,Brasil,103609.0,558.61,0.507,0.699,0.608,0.822,0.682
AÇAILÂNDIA,210005,1.0,0.963836841699437,n/d,MA,Maranhão,Nordeste,Brasil,103752.0,438.56,0.464,0.672,0.602,0.785,0.643
MAUÁ,352940,4.0,0.96382058479814,RM São Paulo,SP,São Paulo,Sudeste,Brasil,415015.0,709.25,0.641,0.766,0.733,0.852,0.721
COLOMBO,410580,2.0,0.941535361714348,RM Curitiba,PR,Paraná,Sul,Brasil,212419.0,682.85,0.526,0.733,0.632,0.87,0.715
ITAQUAQUECETUBA,352310,3.0,0.934003325051837,RM São Paulo,SP,São Paulo,Sudeste,Brasil,321198.0,502.85,0.542,0.714,0.648,0.844,0.665
VOTORANTIM,355700,1.0,0.920895110046966,n/d,SP,São Paulo,Sudeste,Brasil,108590.0,703.99,0.64,0.767,0.747,0.838,0.72
ITABORAÍ,330190,2.0,0.920115566515154,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,217364.0,584.35,0.528,0.693,0.593,0.813,0.69
SÃO VICENTE,355100,3.0,0.908152484856557,n/d,SP,São Paulo,Sudeste,Brasil,330341.0,789.32,0.65,0.768,0.716,0.857,0.738
SÃO GONÇALO,330490,9.0,0.902755208897555,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,996948.0,669.3,0.645,0.739,0.681,0.833,0.711
BRAGANÇA,150170,1.0,0.887240593031612,n/d,PA,Pará,Norte,Brasil,112709.0,311.97,0.399,0.6,0.486,0.755,0.589
SÃO JOÃO DE MERITI,330510,4.0,0.872908837765528,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,458238.0,597.57,0.614,0.719,0.646,0.831,0.693
ITAPIPOCA,230640,1.0,0.86617583369424,n/d,CE,Ceará,Nordeste,Brasil,115450.0,264.08,0.456,0.64,0.613,0.761,0.562
FORTALEZA,230440,21.0,0.865115336352723,RM Fortaleza,CE,Ceará,Nordeste,Brasil,2427422.0,846.36,0.658,0.754,0.695,0.824,0.749
JI-PARANÁ,110012,1.0,0.862842548491751,n/d,RO,Rondônia,Norte,Brasil,115896.0,743.35,0.532,0.714,0.617,0.81,0.728
CRATO,230420,1.0,0.828809415274957,n/d,CE,Ceará,Nordeste,Brasil,120655.0,470.46,0.568,0.713,0.673,0.822,0.655
IMPERATRIZ,210530,2.0,0.811961821555151,n/d,MA,Maranhão,Nordeste,Brasil,246317.0,613.87,0.617,0.731,0.698,0.803,0.697
CAMPINA GRANDE,250400,3.0,0.784168167477409,n/d,PB,Paraíba,Nordeste,Brasil,382571.0,630.03,0.574,0.72,0.654,0.812,0.702
VITÓRIA DE SANTO ANTÃO,261640,1.0,0.773389223594559,n/d,PE,Pernambuco,Nordeste,Brasil,129301.0,401.16,0.401,0.64,0.543,0.768,0.629
NOVA IGUAÇU,330350,6.0,0.754471184859272,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,795259.0,591.0,0.604,0.713,0.641,0.818,0.691
SERRA,320500,3.0,0.735990422311304,n/d,ES,Espírito Santo,Sudeste,Brasil,407614.0,705.89,0.614,0.739,0.664,0.844,0.72
PETROLINA,261110,2.0,0.685147375200406,n/d,PE,Pernambuco,Nordeste,Brasil,291908.0,605.06,0.536,0.697,0.611,0.799,0.695
ITAPECERICA DA SERRA,352220,1.0,0.671298627194307,RM São Paulo,SP,São Paulo,Sudeste,Brasil,148965.0,619.82,0.58,0.742,0.687,0.852,0.699
ARAGUAÍNA,170210,1.0,0.669792364367046,n/d,TO,Tocantins,Norte,Brasil,149300.0,737.63,0.639,0.752,0.712,0.821,0.727
CARUARU,260410,2.0,0.638751113822255,n/d,PE,Pernambuco,Nordeste,Brasil,313111.0,553.99,0.468,0.677,0.569,0.799,0.681
NILÓPOLIS,330320,1.0,0.636330662865652,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,157151.0,755.26,0.715,0.753,0.716,0.817,0.731
LAURO DE FREITAS,291920,1.0,0.619574847739481,RM Salvador,BA,Bahia,Nordeste,Brasil,161401.0,1031.78,0.667,0.754,0.663,0.827,0.781
SOBRAL,231290,1.0,0.536267790683956,n/d,CE,Ceará,Nordeste,Brasil,186474.0,448.89,0.543,0.714,0.675,0.832,0.647
HORTOLÂNDIA,351907,1.0,0.531584067362333,n/d,SP,São Paulo,Sudeste,Brasil,188117.0,686.96,0.59,0.756,0.703,0.859,0.716
SUMARÉ,355240,1.0,0.414925707552063,n/d,SP,São Paulo,Sudeste,Brasil,241007.0,820.03,0.6,0.762,0.705,0.845,0.744
OLINDA,260960,1.0,0.265845735036873,RM Recife,PE,Pernambuco,Nordeste,Brasil,376158.0,640.13,0.64,0.735,0.675,0.836,0.704
BELFORD ROXO,330045,1.0,0.213322411225879,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,468774.0,491.51,0.549,0.684,0.598,0.808,0.662
JABOATÃO DOS GUARARAPES,260790,1.0,0.155524381557297,RM Recife,PE,Pernambuco,Nordeste,Brasil,642986.0,593.9,0.585,0.717,0.642,0.83,0.692
