cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
SOROCABA,Jornal,355220,7,n/d,SP,São Paulo,Sudeste,Brasil,581667,1107.19,0.677,0.798,0.762,0.843,0.792
CASCAVEL,Jornal,410480,7,n/d,PR,Paraná,Sul,Brasil,281772,1003.38,0.63,0.782,0.728,0.846,0.776
BRAÇO DO NORTE,Jornal,420280,7,n/d,SC,Santa Catarina,Sul,Brasil,28879,831.77,0.59,0.778,0.716,0.881,0.746
INDAIAL,Jornal,420750,7,n/d,SC,Santa Catarina,Sul,Brasil,54716,945.33,0.574,0.777,0.701,0.873,0.767
ITAPEMA,Jornal,420830,7,n/d,SC,Santa Catarina,Sul,Brasil,45573,1078.48,0.656,0.796,0.727,0.881,0.788
LAGES,Jornal,420930,7,n/d,SC,Santa Catarina,Sul,Brasil,156106,878.34,0.608,0.77,0.697,0.867,0.755
LAGUNA,Jornal,420940,7,n/d,SC,Santa Catarina,Sul,Brasil,51471,684.42,0.536,0.752,0.682,0.871,0.715
SÃO BENTO DO SUL,Jornal,421580,7,n/d,SC,Santa Catarina,Sul,Brasil,74503,923.29,0.634,0.782,0.719,0.871,0.763
SÃO MIGUEL DO OESTE,Jornal,421720,7,n/d,SC,Santa Catarina,Sul,Brasil,36117,1072.6,0.611,0.801,0.739,0.884,0.787
VIDEIRA,Jornal,421930,7,n/d,SC,Santa Catarina,Sul,Brasil,46820,978.07,0.592,0.764,0.675,0.857,0.772
BENTO GONÇALVES,Jornal,430210,7,n/d,RS,Rio Grande do Sul,Sul,Brasil,106666,1196.56,0.614,0.778,0.695,0.842,0.805
GUAÍBA,Jornal,430930,7,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,95003,758.83,0.6,0.73,0.639,0.833,0.732
NOVO HAMBURGO,Jornal,431340,7,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,237941,1011.62,0.552,0.747,0.629,0.852,0.778
ANÁPOLIS,Jornal,520110,7,n/d,GO,Goiás,Centro-Oeste,Brasil,333067,785.17,0.609,0.737,0.66,0.822,0.737
NATAL,Jornal,240810,6,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,797986,950.34,0.659,0.763,0.694,0.835,0.768
JOÃO PESSOA,Jornal,250750,6,n/d,PB,Paraíba,Nordeste,Brasil,713290,964.82,0.663,0.763,0.693,0.832,0.77
ARACAJU,Jornal,280030,6,n/d,SE,Sergipe,Nordeste,Brasil,565274,1052.03,0.695,0.77,0.708,0.823,0.784
CABO FRIO,Jornal,330070,6,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,185301,815.75,0.606,0.735,0.64,0.836,0.743
ITAPERUNA,Jornal,330220,6,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,94954,688.83,0.536,0.73,0.649,0.837,0.716
