cidade,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
ASSIS,350400,8,n/d,SP,São Paulo,Sudeste,Brasil,93038,967.39,0.689,0.805,0.781,0.865,0.771
COTIA,351300,8,RM São Paulo,SP,São Paulo,Sudeste,Brasil,199437,1085.66,0.639,0.78,0.707,0.851,0.789
ITU,352390,8,n/d,SP,São Paulo,Sudeste,Brasil,153310,1038.14,0.621,0.773,0.692,0.854,0.782
OURINHOS,353470,8,n/d,SP,São Paulo,Sudeste,Brasil,102702,868.91,0.601,0.778,0.727,0.859,0.753
SÃO CARLOS,354890,8,n/d,SP,São Paulo,Sudeste,Brasil,220666,1079.45,0.693,0.805,0.766,0.863,0.788
TABOÃO DA SERRA,355280,8,RM São Paulo,SP,São Paulo,Sudeste,Brasil,243983,812.19,0.653,0.769,0.71,0.863,0.742
CORNÉLIO PROCÓPIO,410640,8,n/d,PR,Paraná,Sul,Brasil,46608,828.19,0.593,0.759,0.692,0.848,0.746
GUARAPUAVA,410940,8,n/d,PR,Paraná,Sul,Brasil,165849,750.09,0.519,0.731,0.628,0.853,0.73
BRAÇO DO NORTE,420280,8,n/d,SC,Santa Catarina,Sul,Brasil,28879,831.77,0.59,0.778,0.716,0.881,0.746
CANOINHAS,420380,8,n/d,SC,Santa Catarina,Sul,Brasil,52405,692.87,0.567,0.757,0.692,0.874,0.717
ITAPEMA,420830,8,n/d,SC,Santa Catarina,Sul,Brasil,45573,1078.48,0.656,0.796,0.727,0.881,0.788
SÃO BENTO DO SUL,421580,8,n/d,SC,Santa Catarina,Sul,Brasil,74503,923.29,0.634,0.782,0.719,0.871,0.763
TIMBÓ,421820,8,n/d,SC,Santa Catarina,Sul,Brasil,36602,1214.03,0.601,0.784,0.697,0.856,0.807
ALVORADA,430060,8,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,194977,600.48,0.563,0.699,0.564,0.874,0.694
CRUZ ALTA,430610,8,n/d,RS,Rio Grande do Sul,Sul,Brasil,62352,871.81,0.591,0.75,0.653,0.858,0.754
PASSO FUNDO,431410,8,n/d,RS,Rio Grande do Sul,Sul,Brasil,183407,1068.95,0.663,0.776,0.699,0.849,0.787
PELOTAS,431440,8,n/d,RS,Rio Grande do Sul,Sul,Brasil,326650,894.35,0.58,0.739,0.632,0.844,0.758
SANTA MARIA,431690,8,n/d,RS,Rio Grande do Sul,Sul,Brasil,258667,1127.25,0.683,0.784,0.715,0.848,0.795
RONDONÓPOLIS,510760,8,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,193435,843.62,0.598,0.755,0.698,0.823,0.749
RIO VERDE,521880,8,n/d,GO,Goiás,Centro-Oeste,Brasil,175474,936.75,0.556,0.754,0.656,0.853,0.765
MACAPÁ,160030,7,n/d,AP,Amapá,Norte,Brasil,395465,717.88,0.679,0.733,0.663,0.82,0.723
MOSSORÓ,240800,7,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,258460,600.28,0.565,0.72,0.663,0.811,0.694
ITABUNA,291480,7,n/d,BA,Bahia,Nordeste,Brasil,203181,605.12,0.576,0.712,0.643,0.807,0.695
CACHOEIRO DE ITAPEMIRIM,320120,7,n/d,ES,Espírito Santo,Sudeste,Brasil,188790,763.71,0.561,0.746,0.677,0.837,0.733
ITAPERUNA,330220,7,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,94954,688.83,0.536,0.73,0.649,0.837,0.716
PETRÓPOLIS,330390,7,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,294326,922.49,0.566,0.745,0.639,0.847,0.763
VOLTA REDONDA,330630,7,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,257116,920.51,0.672,0.771,0.72,0.833,0.763
CARAPICUÍBA,351060,7,RM São Paulo,SP,São Paulo,Sudeste,Brasil,368909,712.78,0.6,0.749,0.693,0.842,0.721
FERNANDÓPOLIS,351550,7,n/d,SP,São Paulo,Sudeste,Brasil,64444,944.0,0.595,0.797,0.758,0.872,0.767
GUARATINGUETÁ,351840,7,n/d,SP,São Paulo,Sudeste,Brasil,111540,926.78,0.673,0.798,0.751,0.886,0.764
MOGI GUAÇU,353070,7,n/d,SP,São Paulo,Sudeste,Brasil,136821,802.19,0.598,0.774,0.736,0.852,0.74
POÁ,353980,7,RM São Paulo,SP,São Paulo,Sudeste,Brasil,105717,664.31,0.677,0.771,0.754,0.856,0.71
PRESIDENTE PRUDENTE,354140,7,n/d,SP,São Paulo,Sudeste,Brasil,205558,1080.22,0.674,0.806,0.774,0.858,0.788
APUCARANA,410140,7,n/d,PR,Paraná,Sul,Brasil,120486,804.81,0.548,0.748,0.668,0.845,0.741
CAMPO LARGO,410420,7,RM Curitiba,PR,Paraná,Sul,Brasil,111827,749.21,0.528,0.745,0.664,0.854,0.73
LARANJEIRAS DO SUL,411330,7,n/d,PR,Paraná,Sul,Brasil,30561,659.33,0.43,0.706,0.594,0.835,0.709
SÃO JOSÉ DOS PINHAIS,412550,7,RM Curitiba,PR,Paraná,Sul,Brasil,263194,846.93,0.617,0.758,0.678,0.859,0.749
BRUSQUE,420290,7,n/d,SC,Santa Catarina,Sul,Brasil,104887,1116.93,0.591,0.795,0.707,0.894,0.794
CONCÓRDIA,420430,7,n/d,SC,Santa Catarina,Sul,Brasil,68285,1009.49,0.599,0.8,0.756,0.872,0.777
INDAIAL,420750,7,n/d,SC,Santa Catarina,Sul,Brasil,54716,945.33,0.574,0.777,0.701,0.873,0.767
LAGUNA,420940,7,n/d,SC,Santa Catarina,Sul,Brasil,51471,684.42,0.536,0.752,0.682,0.871,0.715
VIDEIRA,421930,7,n/d,SC,Santa Catarina,Sul,Brasil,46820,978.07,0.592,0.764,0.675,0.857,0.772
BENTO GONÇALVES,430210,7,n/d,RS,Rio Grande do Sul,Sul,Brasil,106666,1196.56,0.614,0.778,0.695,0.842,0.805
GUAÍBA,430930,7,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,95003,758.83,0.6,0.73,0.639,0.833,0.732
RIO GRANDE,431560,7,n/d,RS,Rio Grande do Sul,Sul,Brasil,195482,859.2,0.584,0.744,0.637,0.861,0.752
CORUMBÁ,500320,7,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,102596,627.1,0.546,0.7,0.586,0.834,0.701
ARIQUEMES,110002,6,n/d,RO,Rondônia,Norte,Brasil,89766,689.95,0.514,0.702,0.6,0.806,0.716
BOA VISTA,140010,6,n/d,RR,Roraima,Norte,Brasil,281538,786.55,0.687,0.752,0.708,0.816,0.737
JUAZEIRO DO NORTE,230730,6,n/d,CE,Ceará,Nordeste,Brasil,248222,439.53,0.528,0.694,0.642,0.81,0.644
MARICÁ,330270,6,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,127228,910.41,0.655,0.765,0.692,0.85,0.761
NOVA IGUAÇU,330350,6,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,795259,591.0,0.604,0.713,0.641,0.818,0.691
TERESÓPOLIS,330580,6,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,162971,859.79,0.531,0.73,0.605,0.855,0.752
BOTUCATU,350750,6,n/d,SP,São Paulo,Sudeste,Brasil,126813,1089.1,0.653,0.8,0.746,0.869,0.79
BRAGANÇA PAULISTA,350760,6,n/d,SP,São Paulo,Sudeste,Brasil,145407,974.08,0.623,0.776,0.704,0.861,0.772
CAÇAPAVA,350850,6,n/d,SP,São Paulo,Sudeste,Brasil,84377,871.87,0.659,0.788,0.755,0.858,0.754
CUBATÃO,351350,6,n/d,SP,São Paulo,Sudeste,Brasil,118004,689.21,0.593,0.737,0.681,0.821,0.716
FRANCA,351620,6,n/d,SP,São Paulo,Sudeste,Brasil,317558,846.57,0.631,0.78,0.753,0.842,0.749
GUARUJÁ,351870,6,n/d,SP,São Paulo,Sudeste,Brasil,290055,745.0,0.594,0.751,0.679,0.854,0.729
JAÚ,352530,6,n/d,SP,São Paulo,Sudeste,Brasil,130260,951.17,0.572,0.778,0.693,0.886,0.768
SANTANA DE PARNAÍBA,354730,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108248,1858.69,0.657,0.814,0.725,0.849,0.876
SUZANO,355250,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,261357,654.61,0.62,0.765,0.723,0.873,0.708
FRANCISCO BELTRÃO,410840,6,n/d,PR,Paraná,Sul,Brasil,77938,895.36,0.609,0.774,0.726,0.844,0.758
BIGUAÇU,420230,6,n/d,SC,Santa Catarina,Sul,Brasil,58014,764.37,0.58,0.739,0.659,0.836,0.733
CAÇADOR,420300,6,n/d,SC,Santa Catarina,Sul,Brasil,70361,744.28,0.516,0.735,0.62,0.878,0.728
IMBITUBA,420730,6,n/d,SC,Santa Catarina,Sul,Brasil,39714,768.81,0.592,0.765,0.703,0.868,0.734
PALMITOS,421210,6,n/d,SC,Santa Catarina,Sul,Brasil,15987,887.5,0.435,0.737,0.632,0.836,0.757
BAGÉ,430160,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,116108,795.56,0.585,0.74,0.647,0.848,0.739
GRAVATAÍ,430920,6,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,254991,737.29,0.611,0.736,0.636,0.862,0.727
IJUÍ,431020,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,77957,1066.65,0.586,0.781,0.707,0.858,0.786
LAJEADO,431140,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,70819,1130.85,0.61,0.778,0.704,0.84,0.796
MONTENEGRO,431240,6,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,58537,914.23,0.575,0.755,0.654,0.866,0.761
SANTA CRUZ DO SUL,431680,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,117169,1036.87,0.619,0.773,0.693,0.852,0.782
TORRES,432150,6,n/d,RS,Rio Grande do Sul,Sul,Brasil,34446,853.62,0.584,0.762,0.685,0.862,0.75
NOVA ANDRADINA,500620,6,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,44985,688.15,0.496,0.721,0.616,0.85,0.716
TRÊS LAGOAS,500830,6,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,101171,863.66,0.579,0.744,0.645,0.849,0.752
ALTA FLORESTA,510025,6,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,48593,660.84,0.496,0.714,0.629,0.817,0.709
VÁRZEA GRANDE,510840,6,n/d,MT,Mato Grosso,Centro-Oeste,Brasil,251845,668.86,0.604,0.734,0.661,0.842,0.711
CALDAS NOVAS,520450,6,n/d,GO,Goiás,Centro-Oeste,Brasil,69852,794.78,0.573,0.733,0.64,0.832,0.739
SENADOR CANEDO,522045,6,n/d,GO,Goiás,Centro-Oeste,Brasil,84279,537.58,0.538,0.701,0.617,0.827,0.676
ROLIM DE MOURA,110028,5,n/d,RO,Rondônia,Norte,Brasil,50379,657.65,0.474,0.7,0.598,0.808,0.709
VILHENA,110030,5,n/d,RO,Rondônia,Norte,Brasil,75614,768.98,0.554,0.731,0.659,0.808,0.734
PARAUAPEBAS,150553,5,n/d,PA,Pará,Norte,Brasil,153443,627.61,0.603,0.715,0.644,0.809,0.701
SANTARÉM,150680,5,n/d,PA,Pará,Norte,Brasil,293064,409.07,0.569,0.691,0.648,0.807,0.632
JEQUIÉ,291800,5,n/d,BA,Bahia,Nordeste,Brasil,150577,473.92,0.49,0.665,0.568,0.79,0.656
GUARAPARI,320240,5,n/d,ES,Espírito Santo,Sudeste,Brasil,104656,830.51,0.564,0.731,0.626,0.837,0.746
ANGRA DOS REIS,330010,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,168814,798.68,0.554,0.724,0.605,0.846,0.74
BARRA MANSA,330040,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,177326,705.1,0.582,0.729,0.657,0.819,0.72
CAMPOS DOS GOYTACAZES,330100,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,460592,682.59,0.555,0.716,0.619,0.83,0.715
MACAÉ,330240,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,206005,1103.42,0.678,0.764,0.681,0.828,0.792
MIGUEL PEREIRA,330290,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,24530,801.63,0.561,0.745,0.675,0.828,0.74
RESENDE,330420,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,119435,915.21,0.664,0.768,0.709,0.839,0.762
SANTO ANTÔNIO DE PÁDUA,330470,5,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40460,657.53,0.516,0.718,0.648,0.806,0.709
ARAÇATUBA,350280,5,n/d,SP,São Paulo,Sudeste,Brasil,180537,1036.09,0.643,0.788,0.744,0.841,0.782
ATIBAIA,350410,5,n/d,SP,São Paulo,Sudeste,Brasil,125501,1063.52,0.58,0.765,0.67,0.851,0.786
GUAÍRA,351740,5,n/d,SP,São Paulo,Sudeste,Brasil,37339,901.23,0.512,0.753,0.683,0.824,0.759
ITANHAÉM,352210,5,n/d,SP,São Paulo,Sudeste,Brasil,86728,690.67,0.589,0.745,0.701,0.823,0.716
ITAPETININGA,352230,5,n/d,SP,São Paulo,Sudeste,Brasil,140581,741.64,0.598,0.763,0.705,0.864,0.728
ITAPIRA,352260,5,n/d,SP,São Paulo,Sudeste,Brasil,67517,849.81,0.558,0.762,0.692,0.852,0.75
JACAREÍ,352440,5,n/d,SP,São Paulo,Sudeste,Brasil,210767,846.53,0.66,0.777,0.749,0.837,0.749
PINDAMONHANGABA,353800,5,n/d,SP,São Paulo,Sudeste,Brasil,146392,826.02,0.663,0.773,0.736,0.843,0.745
REGISTRO,354260,5,n/d,SP,São Paulo,Sudeste,Brasil,54129,699.41,0.572,0.754,0.702,0.851,0.718
CAMPO MOURÃO,410430,5,n/d,PR,Paraná,Sul,Brasil,86898,843.42,0.575,0.757,0.689,0.841,0.749
CIANORTE,410550,5,n/d,PR,Paraná,Sul,Brasil,69698,837.13,0.549,0.755,0.685,0.841,0.747
PATO BRANCO,411850,5,n/d,PR,Paraná,Sul,Brasil,71860,1013.22,0.627,0.782,0.728,0.845,0.778
CAPINZAL,420390,5,n/d,SC,Santa Catarina,Sul,Brasil,20648,811.66,0.518,0.752,0.659,0.869,0.742
NAVEGANTES,421130,5,n/d,SC,Santa Catarina,Sul,Brasil,60411,756.39,0.529,0.736,0.624,0.873,0.731
POMERODE,421320,5,n/d,SC,Santa Catarina,Sul,Brasil,27548,1022.91,0.558,0.78,0.687,0.886,0.78
SEARA,421750,5,n/d,SC,Santa Catarina,Sul,Brasil,16884,1188.18,0.505,0.779,0.674,0.872,0.804
SOMBRIO,421770,5,n/d,SC,Santa Catarina,Sul,Brasil,26590,746.69,0.475,0.728,0.617,0.858,0.729
TAIÓ,421780,5,n/d,SC,Santa Catarina,Sul,Brasil,17065,848.34,0.491,0.761,0.67,0.879,0.749
XANXERÊ,421950,5,n/d,SC,Santa Catarina,Sul,Brasil,43612,906.11,0.593,0.775,0.711,0.861,0.76
ARROIO GRANDE,430130,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,18364,528.13,0.409,0.657,0.522,0.807,0.673
CARAZINHO,430470,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,58825,881.73,0.621,0.766,0.707,0.84,0.756
ERECHIM,430700,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,95232,1038.39,0.629,0.776,0.716,0.833,0.782
ROSÁRIO DO SUL,431640,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,39469,643.97,0.483,0.699,0.576,0.841,0.705
SÃO GABRIEL,431830,5,n/d,RS,Rio Grande do Sul,Sul,Brasil,59422,667.06,0.475,0.699,0.585,0.822,0.711
