meio,cidade,uf,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
Online,TERESÓPOLIS,RJ,1,6.48,12.3,76.27,13.29,9.01,1.58,7.06,0.56,16.82,11.36,859.79,162971.0,14749.0,0.531,0.605,0.855,0.752,0.73
Online,ANDRADINA,SP,1,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
Online,ARTUR NOGUEIRA,SP,1,5.55,7.95,74.63,15.3,6.65,0.43,3.01,0.46,10.37,6.97,823.24,44074.0,2938.0,0.554,0.681,0.827,0.745,0.749
Online,ATIBAIA,SP,1,4.92,14.24,76.03,12.77,8.89,0.95,4.52,0.53,14.84,10.04,1063.52,125501.0,11260.0,0.58,0.67,0.851,0.786,0.765
Online,BOTUCATU,SP,1,4.11,18.8,77.13,10.8,9.36,0.74,3.3,0.54,15.48,10.31,1089.1,126813.0,11913.0,0.653,0.746,0.869,0.79,0.8
Online,CAJAMAR,SP,1,5.19,6.52,73.59,17.0,4.38,3.14,7.21,0.43,8.87,6.52,676.5,64040.0,2810.0,0.554,0.668,0.81,0.713,0.728
Online,CARAPICUÍBA,SP,1,4.36,7.21,75.52,14.0,4.9,1.77,6.12,0.46,10.25,7.24,712.78,368909.0,18093.0,0.6,0.693,0.842,0.721,0.749
Online,CARDOSO,SP,1,9.11,8.31,76.18,13.0,11.88,1.72,6.96,0.42,8.01,5.91,605.99,11762.0,1402.0,0.468,0.636,0.853,0.695,0.722
Online,COLÔMBIA,SP,1,9.95,4.32,73.13,17.8,7.22,1.35,5.04,0.4,7.59,5.59,582.53,5982.0,433.0,0.47,0.647,0.802,0.689,0.71
Online,ENGENHEIRO COELHO,SP,1,8.78,10.75,73.87,16.5,5.17,1.57,5.92,0.45,10.03,7.29,707.37,15658.0,813.0,0.516,0.668,0.815,0.72,0.732
Online,FERNANDÓPOLIS,SP,1,5.91,16.42,77.31,12.82,11.35,0.35,2.46,0.49,11.58,7.71,944.0,64444.0,7344.0,0.595,0.758,0.872,0.767,0.797
Online,HOLAMBRA,SP,1,5.42,17.0,77.66,10.1,5.85,1.7,2.86,0.54,15.03,10.23,1274.53,11254.0,661.0,0.583,0.698,0.878,0.815,0.793
Online,ITAPORANGA,SP,1,10.72,7.09,75.11,14.6,9.63,3.42,14.74,0.53,15.09,9.8,552.76,14423.0,1401.0,0.413,0.653,0.835,0.681,0.719
Online,JAÚ,SP,1,4.69,13.03,78.13,9.6,8.93,0.46,2.45,0.45,9.81,6.78,951.17,130260.0,11698.0,0.572,0.693,0.886,0.768,0.778
Online,LEME,SP,1,7.16,9.06,76.05,13.2,7.26,0.64,5.09,0.48,11.25,7.66,746.15,91255.0,6664.0,0.511,0.665,0.851,0.729,0.744
Online,LIMEIRA,SP,1,3.99,11.76,76.11,15.22,7.87,0.85,3.25,0.48,11.21,7.77,910.85,275032.0,21715.0,0.61,0.719,0.852,0.761,0.775
Online,OURINHOS,SP,1,4.97,14.41,76.53,11.5,9.04,0.68,3.75,0.5,12.6,8.6,868.91,102702.0,9315.0,0.601,0.727,0.859,0.753,0.778
Online,PARAGUAÇU PAULISTA,SP,1,6.72,10.27,75.18,14.5,8.74,1.54,6.39,0.45,10.09,7.11,694.42,40879.0,3694.0,0.577,0.739,0.836,0.717,0.762
Online,PENÁPOLIS,SP,1,5.47,12.89,76.55,12.43,10.62,0.43,3.38,0.47,10.49,7.26,840.16,58257.0,6215.0,0.581,0.68,0.859,0.748,0.759
Online,PERUÍBE,SP,1,6.05,10.29,76.24,12.9,10.38,2.68,9.3,0.53,15.13,10.29,753.85,59434.0,6205.0,0.576,0.675,0.854,0.73,0.749
Online,REGISTRO,SP,1,5.58,13.31,76.08,13.1,8.41,1.74,10.24,0.52,14.41,10.03,699.41,54129.0,4566.0,0.572,0.702,0.851,0.718,0.754
Online,SÃO JOSÉ DO RIO PARDO,SP,1,4.79,12.67,77.05,10.9,10.19,0.8,5.27,0.49,11.79,7.89,818.61,51528.0,5287.0,0.563,0.717,0.868,0.744,0.774
Online,SOCORRO,SP,1,6.84,9.11,74.66,15.3,11.9,0.88,5.84,0.44,9.35,6.56,785.71,36547.0,4364.0,0.462,0.634,0.828,0.737,0.729
Online,TANABI,SP,1,7.02,9.06,74.73,15.1,11.25,0.8,3.33,0.42,8.4,5.87,775.79,23991.0,2707.0,0.507,0.687,0.829,0.735,0.748
Online,TAUBATÉ,SP,1,3.04,16.76,77.98,10.12,7.62,0.84,3.75,0.51,13.08,9.13,1011.95,276215.0,21231.0,0.682,0.746,0.883,0.778,0.8
Online,TUPÃ,SP,1,6.94,16.66,76.1,14.21,12.53,1.07,4.98,0.54,15.35,9.91,926.96,62563.0,7954.0,0.587,0.704,0.852,0.764,0.771
Online,APUCARANA,PR,1,5.9,11.53,75.71,12.56,8.41,0.45,3.09,0.45,9.37,6.74,804.81,120486.0,10166.0,0.548,0.668,0.845,0.741,0.748
Online,ASSIS CHATEAUBRIAND,PR,1,8.14,9.31,76.4,10.9,10.65,1.73,6.34,0.47,10.83,7.45,676.1,32901.0,3516.0,0.467,0.633,0.857,0.713,0.729
Online,CAFELÂNDIA,PR,1,4.42,12.24,75.11,12.6,5.57,0.4,2.7,0.41,8.02,5.75,721.38,14625.0,817.0,0.557,0.692,0.835,0.723,0.748
Online,CIANORTE,PR,1,5.58,11.03,75.45,12.1,7.95,0.58,2.13,0.41,7.86,5.74,837.13,69698.0,5561.0,0.549,0.685,0.841,0.747,0.755
Online,GENERAL CARNEIRO,PR,1,9.87,3.95,73.95,14.2,6.05,4.83,20.0,0.48,11.46,8.09,423.27,13658.0,827.0,0.374,0.532,0.816,0.638,0.652
Online,GUAÍRA,PR,1,9.5,11.88,75.17,12.5,8.23,3.47,11.7,0.57,18.44,12.04,795.84,30447.0,2526.0,0.482,0.615,0.836,0.739,0.724
Online,JACAREZINHO,PR,1,9.04,13.53,75.61,11.9,8.29,1.14,6.0,0.53,14.63,9.69,770.55,38787.0,3245.0,0.576,0.663,0.844,0.734,0.743
Online,LAPA,PR,1,5.67,6.53,75.9,11.6,7.42,3.68,10.59,0.49,11.98,8.44,608.6,44798.0,3332.0,0.448,0.595,0.848,0.696,0.706
Online,MANGUEIRINHA,PR,1,9.47,7.57,73.67,14.6,6.42,6.13,16.79,0.57,18.63,11.89,605.97,16989.0,1095.0,0.435,0.579,0.811,0.695,0.688
Online,MEDIANEIRA,PR,1,5.42,12.7,75.96,11.5,7.05,0.87,3.93,0.49,11.72,7.99,914.67,41568.0,2949.0,0.546,0.686,0.849,0.762,0.763
Online,PALOTINA,PR,1,5.82,15.28,76.85,10.4,8.09,0.98,2.85,0.47,10.8,7.8,904.85,28550.0,2321.0,0.569,0.689,0.864,0.76,0.768
Online,PARANAVAÍ,PR,1,7.0,13.31,75.62,11.9,9.33,0.97,3.79,0.48,10.98,7.67,852.66,81023.0,7615.0,0.575,0.703,0.844,0.75,0.763
Online,PATO BRANCO,PR,1,4.33,15.92,75.72,11.8,6.42,1.57,3.71,0.51,12.87,9.04,1013.22,71860.0,4647.0,0.627,0.728,0.845,0.778,0.782
Online,SANTO ANTÔNIO DA PLATINA,PR,1,9.75,10.44,74.03,14.0,8.64,1.4,8.2,0.54,15.5,10.0,765.04,42461.0,3688.0,0.515,0.617,0.817,0.733,0.718
Online,UNIÃO DA VITÓRIA,PR,1,4.04,12.54,75.2,13.3,7.79,2.04,9.46,0.48,11.49,8.09,674.29,52491.0,4108.0,0.562,0.68,0.837,0.713,0.74
Online,WENCESLAU BRAZ,PR,1,10.96,6.41,72.42,16.4,9.24,3.76,13.24,0.52,14.55,9.88,594.42,19117.0,1783.0,0.436,0.594,0.79,0.692,0.687
Online,BIGUAÇU,SC,1,4.61,7.21,75.17,13.3,5.63,0.5,2.64,0.39,6.93,5.28,764.37,58014.0,3275.0,0.58,0.659,0.836,0.733,0.739
Online,BLUMENAU,SC,1,1.77,15.49,78.64,8.55,6.3,0.12,1.02,0.46,10.27,6.99,1253.17,306393.0,19478.0,0.659,0.722,0.894,0.812,0.806
Online,BRAÇO DO NORTE,SC,1,3.54,9.58,77.83,9.9,5.82,0.21,1.77,0.41,7.77,5.6,831.77,28879.0,1690.0,0.59,0.716,0.881,0.746,0.778
Online,BRUSQUE,SC,1,2.68,10.94,78.64,8.55,5.81,0.29,0.89,0.4,7.51,5.39,1116.93,104887.0,6134.0,0.591,0.707,0.894,0.794,0.795
Online,CONCÓRDIA,SC,1,4.2,12.59,77.33,10.5,8.16,0.9,2.68,0.46,9.98,6.86,1009.49,68285.0,5597.0,0.599,0.756,0.872,0.777,0.8
Online,CURITIBANOS,SC,1,7.95,10.35,75.78,12.5,7.42,1.72,10.47,0.51,13.27,9.03,687.47,37460.0,2802.0,0.493,0.62,0.846,0.716,0.721
Online,DIONÍSIO CERQUEIRA,SC,1,10.18,7.52,74.17,14.8,8.85,5.21,15.17,0.53,15.56,10.83,636.41,14753.0,1311.0,0.41,0.61,0.82,0.703,0.706
Online,GASPAR,SC,1,2.45,8.92,78.34,9.3,5.4,0.61,1.24,0.37,6.4,4.81,964.36,57615.0,3130.0,0.558,0.655,0.889,0.77,0.765
Online,IMBITUBA,SC,1,5.88,10.38,77.09,10.8,8.55,0.88,5.08,0.45,9.5,6.64,768.81,39714.0,3433.0,0.592,0.703,0.868,0.734,0.765
Online,ITAPEMA,SC,1,2.8,15.16,77.86,9.9,6.15,0.66,2.7,0.49,12.69,8.33,1078.48,45573.0,2815.0,0.656,0.727,0.881,0.788,0.796
Online,ITUPORANGA,SC,1,4.62,9.9,77.58,10.2,6.94,0.46,3.94,0.43,8.48,6.14,844.05,22157.0,1544.0,0.458,0.638,0.876,0.749,0.748
Online,JAGUARUNA,SC,1,6.49,6.17,74.8,13.8,9.03,0.45,3.32,0.39,6.99,5.12,701.05,17280.0,1561.0,0.446,0.628,0.83,0.719,0.721
Online,JOAÇABA,SC,1,3.17,20.13,78.44,9.2,8.31,0.43,2.61,0.54,15.55,10.32,1338.5,26807.0,2246.0,0.674,0.771,0.891,0.823,0.827
Online,LAURO MULLER,SC,1,4.86,6.61,74.32,14.6,7.25,0.55,3.13,0.37,6.4,4.97,678.67,14319.0,1041.0,0.532,0.677,0.822,0.714,0.735
Online,MAFRA,SC,1,3.45,9.65,77.82,10.0,7.56,1.46,5.4,0.49,11.64,8.03,789.53,52665.0,4001.0,0.562,0.723,0.88,0.738,0.777
Online,NOVA VENEZA,SC,1,3.33,8.68,77.14,10.8,7.02,0.15,1.32,0.39,7.26,5.13,805.79,13188.0,934.0,0.513,0.703,0.869,0.741,0.768
Online,OTACÍLIO COSTA,SC,1,6.63,7.83,75.12,13.4,6.35,1.48,5.74,0.4,7.62,5.73,677.67,16311.0,1037.0,0.531,0.681,0.835,0.713,0.74
Online,PALMITOS,SC,1,6.89,7.6,75.13,13.4,10.22,1.59,4.37,0.46,10.54,7.43,887.5,15987.0,1637.0,0.435,0.632,0.836,0.757,0.737
Online,PAPANDUVA,SC,1,6.77,5.33,75.17,13.3,6.99,3.58,10.8,0.47,11.31,7.96,589.35,17882.0,1254.0,0.394,0.603,0.836,0.691,0.704
Online,PIRATUBA,SC,1,5.4,8.44,74.72,14.0,10.8,0.71,2.76,0.43,8.65,6.27,779.57,4773.0,517.0,0.485,0.714,0.829,0.736,0.758
Online,PRESIDENTE GETÚLIO,SC,1,3.06,7.29,77.44,10.4,8.62,0.39,2.58,0.41,7.92,5.5,928.86,14808.0,1284.0,0.474,0.654,0.874,0.764,0.759
Online,RIO DO CAMPO,SC,1,5.79,5.24,73.18,16.3,7.46,1.63,5.92,0.5,12.73,8.32,803.46,6186.0,462.0,0.441,0.65,0.803,0.741,0.729
Online,RIO DO SUL,SC,1,2.81,14.77,78.61,9.0,7.33,0.61,2.03,0.45,9.64,6.72,1114.31,60758.0,4484.0,0.612,0.727,0.894,0.793,0.802
Online,RIO NEGRINHO,SC,1,3.84,7.69,75.89,12.4,5.74,0.31,5.02,0.44,9.37,6.59,664.58,39723.0,2288.0,0.537,0.668,0.848,0.71,0.738
Online,RODEIO,SC,1,3.75,5.38,78.34,9.3,9.29,,1.64,0.42,8.57,5.82,958.15,10871.0,1015.0,0.447,0.626,0.889,0.769,0.754
Online,SÃO BENTO DO SUL,SC,1,2.42,12.26,77.25,10.6,5.55,0.71,2.97,0.49,11.94,7.84,923.29,74503.0,4153.0,0.634,0.719,0.871,0.763,0.782
Online,SÃO JOÃO DO OESTE,SC,1,1.05,5.27,77.35,10.5,10.04,,1.4,0.4,7.45,5.6,881.09,6027.0,606.0,0.465,0.668,0.873,0.756,0.761
Online,SÃO JOAQUIM,SC,1,5.84,7.58,74.01,15.0,7.83,0.85,7.66,0.48,11.29,7.92,641.75,24778.0,1942.0,0.457,0.562,0.817,0.705,0.687
Online,TIJUCAS,SC,1,5.85,7.93,77.39,10.5,6.61,1.22,3.81,0.41,7.71,5.81,835.48,30700.0,2048.0,0.551,0.672,0.873,0.747,0.76
Online,BAGÉ,RS,1,4.93,11.81,75.86,11.57,10.2,3.14,8.96,0.56,17.61,11.59,795.56,116108.0,11912.0,0.585,0.647,0.848,0.739,0.74
Online,CACHOEIRA DO SUL,RS,1,7.49,11.12,76.22,8.49,12.09,2.93,9.04,0.54,15.64,10.56,793.67,83072.0,10132.0,0.539,0.648,0.854,0.739,0.742
Online,GRAVATAÍ,RS,1,3.2,5.64,76.74,11.3,6.61,1.54,5.39,0.44,9.18,6.64,737.29,254991.0,16891.0,0.611,0.636,0.862,0.727,0.736
Online,IVOTI,RS,1,1.88,8.29,75.88,11.6,6.84,0.1,0.95,0.44,9.34,6.61,1025.02,19764.0,1359.0,0.606,0.729,0.848,0.78,0.784
Online,MONTENEGRO,RS,1,3.75,9.74,76.94,11.0,8.32,0.82,4.87,0.5,12.53,8.66,914.23,58537.0,4943.0,0.575,0.654,0.866,0.761,0.755
Online,SANTA ROSA,RS,1,3.75,11.99,77.25,9.53,8.43,0.55,3.98,0.47,10.54,7.5,863.61,68021.0,5783.0,0.597,0.693,0.871,0.752,0.769
Online,SÃO LEOPOLDO,RS,1,3.17,10.5,76.65,10.09,6.69,1.62,5.96,0.53,14.7,9.98,939.93,213161.0,14321.0,0.599,0.612,0.861,0.766,0.739
Online,SOLEDADE,RS,1,8.9,9.78,76.66,10.6,9.53,3.07,9.13,0.52,14.75,9.88,737.92,29754.0,2863.0,0.509,0.625,0.861,0.727,0.731
Online,VERANÓPOLIS,RS,1,2.8,11.63,75.29,12.4,10.65,,1.96,0.47,11.15,7.63,1141.67,22683.0,2429.0,0.556,0.692,0.838,0.797,0.773
Online,AQUIDAUANA,MS,1,8.53,10.05,75.39,17.1,8.13,6.86,17.36,0.56,17.73,12.01,585.62,45168.0,3708.0,0.469,0.562,0.84,0.69,0.688
Online,ARAL MOREIRA,MS,1,14.28,5.13,72.9,21.7,5.11,11.89,26.82,0.53,14.87,10.28,398.5,10182.0,524.0,0.353,0.507,0.798,0.628,0.633
Online,BATAGUASSU,MS,1,10.27,7.22,75.8,16.4,5.7,2.13,8.09,0.47,11.19,7.61,614.34,19684.0,1131.0,0.467,0.606,0.847,0.698,0.71
Online,CASSILÂNDIA,MS,1,11.54,12.32,73.63,20.3,10.32,1.2,3.87,0.54,15.32,9.64,885.1,20708.0,2164.0,0.462,0.627,0.811,0.756,0.727
Online,RIBAS DO RIO PARDO,MS,1,10.35,7.31,74.82,18.1,3.86,3.51,9.84,0.47,11.05,7.9,552.58,20451.0,808.0,0.39,0.519,0.83,0.681,0.664
Online,RIO VERDE DE MATO GROSSO,MS,1,11.84,6.62,76.11,15.9,7.77,3.06,8.7,0.46,10.09,7.04,570.74,18706.0,1467.0,0.373,0.521,0.852,0.686,0.673
Online,SÃO GABRIEL DO OESTE,MS,1,5.72,9.78,76.01,16.1,4.68,1.58,4.91,0.54,15.03,9.8,855.21,22010.0,1040.0,0.511,0.608,0.85,0.751,0.729
Online,ALTA FLORESTA,MT,1,8.88,8.03,73.99,17.0,5.45,1.86,5.77,0.48,11.32,8.02,660.84,48593.0,2678.0,0.496,0.629,0.817,0.709,0.714
Online,JACIARA,MT,1,10.03,10.35,74.96,15.4,6.02,3.2,8.84,0.51,13.83,9.41,742.81,25453.0,1543.0,0.511,0.655,0.833,0.728,0.735
Online,NOVA XAVANTINA,MT,1,10.75,7.37,73.0,18.6,6.55,2.64,11.07,0.53,15.05,9.96,674.44,19508.0,1286.0,0.468,0.613,0.8,0.713,0.704
Online,POCONÉ,MT,1,17.86,6.31,73.36,18.0,7.43,9.42,21.09,0.52,14.62,10.05,436.83,31559.0,2360.0,0.405,0.534,0.806,0.643,0.652
Online,TANGARÁ DA SERRA,MT,1,8.12,10.12,74.47,16.2,4.94,2.25,6.52,0.55,16.22,10.69,846.59,82699.0,4118.0,0.522,0.626,0.825,0.749,0.729
Online,ÁGUAS LINDAS DE GOIÁS,GO,1,7.01,1.97,75.85,11.62,2.31,3.17,11.6,0.43,8.57,6.22,449.38,158508.0,3674.0,0.488,0.588,0.848,0.647,0.686
Online,ALTO PARAÍSO DE GOIÁS,GO,1,11.16,11.44,74.16,14.3,5.32,5.27,17.22,0.65,28.43,17.19,719.11,6782.0,366.0,0.533,0.611,0.819,0.723,0.713
Online,CABECEIRAS,GO,1,13.02,6.49,74.15,14.4,5.89,5.79,20.1,0.48,11.66,8.36,420.47,7334.0,433.0,0.414,0.571,0.819,0.637,0.668
Online,CALDAS NOVAS,GO,1,5.57,9.87,74.89,14.9,6.07,1.03,4.62,0.49,11.96,8.28,794.78,69852.0,4278.0,0.573,0.64,0.832,0.739,0.733
Online,CERES,GO,1,7.59,11.17,75.49,12.81,8.39,0.71,4.43,0.53,14.16,9.16,865.23,20620.0,1738.0,0.585,0.733,0.842,0.753,0.775
Online,FORMOSA,GO,1,8.61,12.07,76.14,10.26,5.16,4.1,12.16,0.56,17.68,12.04,732.24,98932.0,5165.0,0.561,0.666,0.852,0.726,0.744
Online,FORMOSO,GO,1,13.13,6.85,75.03,13.1,9.73,5.59,17.98,0.55,17.28,11.42,569.96,4848.0,475.0,0.478,0.639,0.834,0.686,0.715
Online,JATAÍ,GO,1,7.14,10.67,76.35,11.75,7.3,0.91,3.82,0.55,16.23,10.38,987.04,87041.0,6426.0,0.542,0.656,0.856,0.774,0.757
Online,NOVA GLÓRIA,GO,1,15.17,4.2,73.94,14.7,12.05,3.87,14.49,0.47,11.12,7.73,476.52,8467.0,1025.0,0.374,0.589,0.816,0.657,0.681
Online,SENADOR CANEDO,GO,1,6.54,4.47,74.59,13.7,3.81,1.59,7.63,0.43,8.56,6.25,537.58,84279.0,3221.0,0.538,0.617,0.827,0.676,0.701
