meio,cidade,uf,veiculos_mapeados,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
Online,PARAUAPEBAS,PA,1,8.11,5.73,73.55,17.4,2.09,4.42,13.17,0.53,15.49,10.57,627.61,153443.0,3216.0,0.603,0.644,0.809,0.701,0.715
Online,SANTARÉM,PA,1,7.4,7.23,73.44,17.91,5.38,14.85,31.07,0.58,20.6,14.17,409.07,293064.0,15859.0,0.569,0.648,0.807,0.632,0.691
Online,TAILÂNDIA,PA,1,13.52,1.85,71.58,22.3,2.38,11.99,33.6,0.52,13.74,9.32,300.85,78878.0,1884.0,0.379,0.45,0.776,0.583,0.588
Online,ARAGUATINS,TO,1,19.77,7.29,72.56,19.6,6.21,19.69,36.03,0.57,19.93,13.95,342.07,31268.0,1945.0,0.409,0.525,0.793,0.604,0.631
Online,GURUPI,TO,1,6.39,13.64,75.6,12.7,5.48,1.74,7.14,0.54,15.47,10.31,778.9,76292.0,4206.0,0.655,0.706,0.843,0.736,0.759
Online,RAPOSA,MA,1,15.27,2.65,69.11,32.3,4.14,15.47,33.44,0.48,11.36,8.21,274.0,26308.0,1090.0,0.457,0.587,0.735,0.568,0.626
Online,ÁGUA BRANCA,PI,1,24.14,4.79,70.79,25.5,9.1,14.39,30.26,0.49,12.56,9.13,335.63,16436.0,1497.0,0.424,0.569,0.763,0.6,0.639
Online,CAMPO MAIOR,PI,1,22.12,7.26,72.58,20.5,9.1,9.49,26.73,0.53,14.86,10.55,401.74,45093.0,4110.0,0.423,0.566,0.793,0.629,0.656
Online,FLORIANO,PI,1,13.18,9.61,73.13,19.1,7.78,6.56,18.98,0.55,16.78,11.22,536.3,57242.0,4491.0,0.562,0.633,0.802,0.676,0.7
Online,BARBALHA,CE,1,18.79,6.92,74.02,16.0,7.67,10.0,28.35,0.51,13.85,9.44,362.9,55259.0,4244.0,0.514,0.637,0.817,0.613,0.683
