cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
RIO BRANCO,Online,120040,8,n/d,AC,Acre,Norte,Brasil,333052,744.67,0.607,0.727,0.661,0.798,0.729
SÃO LUÍS,Online,211130,8,n/d,MA,Maranhão,Nordeste,Brasil,1005101,805.36,0.735,0.768,0.752,0.813,0.741
MACEIÓ,Online,270430,8,n/d,AL,Alagoas,Nordeste,Brasil,924611,792.54,0.591,0.721,0.635,0.799,0.739
MOGI DAS CRUZES,Online,353060,8,RM São Paulo,SP,São Paulo,Sudeste,Brasil,386276,916.81,0.662,0.783,0.74,0.851,0.762
PONTA GROSSA,Online,411990,8,n/d,PR,Paraná,Sul,Brasil,309810,877.1,0.614,0.763,0.703,0.837,0.755
DOURADOS,Online,500370,8,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,194084,866.4,0.587,0.747,0.657,0.843,0.753
BARUERI,Online,350570,7,RM São Paulo,SP,São Paulo,Sudeste,Brasil,240055,1095.84,0.631,0.786,0.708,0.866,0.791
CRICIÚMA,Online,420460,7,n/d,SC,Santa Catarina,Sul,Brasil,190535,1062.53,0.639,0.788,0.737,0.846,0.786
ARARAQUARA,Online,350320,6,n/d,SP,São Paulo,Sudeste,Brasil,206646,1080.66,0.687,0.815,0.782,0.877,0.788
SÃO BERNARDO DO CAMPO,Online,354870,6,RM São Paulo,SP,São Paulo,Sudeste,Brasil,761343,1212.65,0.702,0.805,0.752,0.861,0.807
SÃO JOSÉ DOS CAMPOS,Online,354990,6,n/d,SP,São Paulo,Sudeste,Brasil,627707,1190.96,0.703,0.807,0.764,0.855,0.804
CASCAVEL,Online,410480,6,n/d,PR,Paraná,Sul,Brasil,281772,1003.38,0.63,0.782,0.728,0.846,0.776
FEIRA DE SANTANA,Online,291080,5,n/d,BA,Bahia,Nordeste,Brasil,552741,662.24,0.576,0.712,0.619,0.82,0.71
SANTANA DE PARNAÍBA,Online,354730,5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,108248,1858.69,0.657,0.814,0.725,0.849,0.876
SANTO ANDRÉ,Online,354780,5,RM São Paulo,SP,São Paulo,Sudeste,Brasil,674948,1304.31,0.707,0.815,0.769,0.861,0.819
SÃO CARLOS,Online,354890,5,n/d,SP,São Paulo,Sudeste,Brasil,220666,1079.45,0.693,0.805,0.766,0.863,0.788
LONDRINA,Online,411370,5,n/d,PR,Paraná,Sul,Brasil,503548,1083.35,0.649,0.778,0.712,0.837,0.789
ITAJAÍ,Online,420820,5,n/d,SC,Santa Catarina,Sul,Brasil,182637,1014.0,0.646,0.795,0.73,0.884,0.778
JOINVILLE,Online,420910,5,n/d,SC,Santa Catarina,Sul,Brasil,512406,1126.74,0.709,0.809,0.749,0.889,0.795
MACAPÁ,Online,160030,4,n/d,AP,Amapá,Norte,Brasil,395465,717.88,0.679,0.733,0.663,0.82,0.723
TEIXEIRA DE FREITAS,Online,293135,4,n/d,BA,Bahia,Nordeste,Brasil,136656,560.73,0.503,0.685,0.588,0.8,0.683
DUQUE DE CAXIAS,Online,330170,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,853747,592.81,0.584,0.711,0.624,0.833,0.692
NITERÓI,Online,330330,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,482950,2000.29,0.794,0.837,0.773,0.854,0.887
GUARULHOS,Online,351880,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,1213492,829.91,0.639,0.763,0.717,0.831,0.746
ITU,Online,352390,4,n/d,SP,São Paulo,Sudeste,Brasil,153310,1038.14,0.621,0.773,0.692,0.854,0.782
OSASCO,Online,353440,4,RM São Paulo,SP,São Paulo,Sudeste,Brasil,665237,1003.4,0.648,0.776,0.718,0.84,0.776
PIRACICABA,Online,353870,4,n/d,SP,São Paulo,Sudeste,Brasil,363011,1143.2,0.64,0.785,0.717,0.848,0.797
