id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
id3961,Jornal,JORNAL DO ZANAGA,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,2.74,15.4,77.55,10.77,8.73,0.32,1.39,0.47,10.39,7.32,1161.68,209811.0,18388.0,0.651,0.76,0.876,0.8,0.811
id3962,Jornal,O LIBERAL,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,2.74,15.4,77.55,10.77,8.73,0.32,1.39,0.47,10.39,7.32,1161.68,209811.0,18388.0,0.651,0.76,0.876,0.8,0.811
id5008,Jornal,JORNAL O LIBERAL,AMERICANA,n/d,SP,São Paulo,Sudeste,Brasil,Atlas,2.74,15.4,77.55,10.77,8.73,0.32,1.39,0.47,10.39,7.32,1161.68,209811.0,18388.0,0.651,0.76,0.876,0.8,0.811
id3963,Jornal,A TRIBUNA,AMPARO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.7,13.21,77.27,10.6,10.19,0.19,2.49,0.5,12.34,8.14,1027.6,65521.0,6709.0,0.592,0.711,0.871,0.78,0.785
id3964,Jornal,GAZETA AMPARENSE,AMPARO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.7,13.21,77.27,10.6,10.19,0.19,2.49,0.5,12.34,8.14,1027.6,65521.0,6709.0,0.592,0.711,0.871,0.78,0.785
id505,Online,BLOG PORTAL GOIÁS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id506,Online,TRIBUNA DE ANÁPOLIS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id558,Jornal,CONTEXTO,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id559,Jornal,FOLHA ESPORTIVA,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id560,Jornal,O ANAPOLIS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id561,Jornal,FOLHA 670,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id562,Jornal,CORREIO DOS PIRENEUS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id563,Jornal,ESTADO DE GOIAS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id564,Jornal,TRIBUNA DE ANAPOLIS,ANÁPOLIS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,5.77,11.49,74.33,15.14,6.67,1.0,5.74,0.5,13.13,8.95,785.17,333067.0,22319.0,0.609,0.66,0.822,0.737,0.737
id436,Jornal,ESTADO DO ESPIRITO SANTO,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,6.75,7.98,76.35,12.3,7.29,2.19,10.53,0.46,10.52,7.62,608.42,23799.0,1742.0,0.526,0.654,0.856,0.696,0.73
id437,Jornal,JORNAL JA - JORNAL DE ANCHIETA,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,6.75,7.98,76.35,12.3,7.29,2.19,10.53,0.46,10.52,7.62,608.42,23799.0,1742.0,0.526,0.654,0.856,0.696,0.73
id438,Jornal,ANCHIETA EM FOCO,ANCHIETA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,6.75,7.98,76.35,12.3,7.29,2.19,10.53,0.46,10.52,7.62,608.42,23799.0,1742.0,0.526,0.654,0.856,0.696,0.73
id1633,Jornal,FOLHA DE ANDIRA,ANDIRÁ,n/d,PR,Paraná,Sul,Brasil,Secom/PR,10.11,7.79,75.25,12.4,9.99,2.87,6.27,0.42,8.53,6.07,587.51,20573.0,2059.0,0.486,0.66,0.838,0.69,0.725
id5518,Jornal,FOLHA DE ANDIRÁ,ANDIRÁ,n/d,PR,Paraná,Sul,Brasil,Adjori-Pr,10.11,7.79,75.25,12.4,9.99,2.87,6.27,0.42,8.53,6.07,587.51,20573.0,2059.0,0.486,0.66,0.838,0.69,0.725
id3226,Online,HOJEMAIS ANDRADINA,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
id3965,Jornal,O JORNAL DA REGIAO (EX- GAZETA),ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
id3966,Jornal,JORNAL DA AGRICULTURA FAMILIAR,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
id3967,Jornal,FOLHA REGIONAL,ANDRADINA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.88,12.21,78.07,9.6,10.53,1.17,3.57,0.51,13.24,8.71,919.36,54242.0,5826.0,0.58,0.702,0.885,0.762,0.779
