id,meio,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,T_ANALF15M,T_SUPER25M,ESPVIDA,MORT1,T_ENV,PIND,PMPOB,GINI,R1040,R2040,RDPC,POP,PESO65,I_ESCOLARIDADE,IDHM_E,IDHM_L,IDHM_R,IDHM
id2088,Jornal,OPÇAO,MIGUEL PEREIRA,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,6.8,10.49,74.68,14.5,11.79,2.26,7.89,0.55,16.32,10.83,801.63,24530.0,2905.0,0.561,0.675,0.828,0.74,0.745
id2089,Jornal,REGIONAL,MIGUEL PEREIRA,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,6.8,10.49,74.68,14.5,11.79,2.26,7.89,0.55,16.32,10.83,801.63,24530.0,2905.0,0.561,0.675,0.828,0.74,0.745
id652,Jornal,FOLHA DO NORTE,MINAÇU,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,13.53,5.75,73.18,17.7,6.81,6.88,13.2,0.52,15.21,10.29,590.7,30927.0,2123.0,0.498,0.637,0.803,0.691,0.707
id653,Jornal,O AGUIA,MINAÇU,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,13.53,5.75,73.18,17.7,6.81,6.88,13.2,0.52,15.21,10.29,590.7,30927.0,2123.0,0.498,0.637,0.803,0.691,0.707
id654,Jornal,CENTRO OESTE NOTICIAS,MINEIROS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,7.55,10.19,75.41,12.6,6.4,2.38,6.03,0.55,15.89,10.14,869.04,52588.0,3386.0,0.474,0.584,0.84,0.753,0.718
id2090,Jornal,O PORTA VOZ,MIRACEMA,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,10.79,6.61,73.32,16.5,10.4,1.84,12.53,0.5,13.28,9.11,608.62,26684.0,2791.0,0.569,0.646,0.805,0.696,0.713
id2091,Jornal,JORNAL DOIS ESTADOS,MIRACEMA,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,Secom/PR,10.79,6.61,73.32,16.5,10.4,1.84,12.53,0.5,13.28,9.11,608.62,26684.0,2791.0,0.569,0.646,0.805,0.696,0.713
id4850,Jornal,MIRA JORNAL,MIRACEMA DO TOCANTINS,n/d,TO,Tocantins,Norte,Brasil,Secom/PR,11.01,9.33,74.17,15.8,6.32,6.51,18.53,0.54,15.5,10.56,533.46,20590.0,1308.0,0.496,0.579,0.82,0.675,0.684
id1251,Jornal,JORNAL DA CIDADE,MIRANDA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR,12.52,5.07,71.91,23.7,6.15,9.41,25.34,0.54,17.09,11.51,424.44,25270.0,1575.0,0.39,0.507,0.782,0.638,0.632
id1252,Jornal,GUAICURU,MIRANDA,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR,12.52,5.07,71.91,23.7,6.15,9.41,25.34,0.54,17.09,11.51,424.44,25270.0,1575.0,0.39,0.507,0.782,0.638,0.632
id4309,Jornal,JORNAL DA CIDADE,MIRASSOL,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.53,11.98,75.76,12.5,9.4,0.86,2.4,0.43,8.5,6.13,841.27,53576.0,5057.0,0.577,0.698,0.846,0.748,0.762
id4310,Jornal,FOLHA DE MIRASSOL,MIRASSOL,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.53,11.98,75.76,12.5,9.4,0.86,2.4,0.43,8.5,6.13,841.27,53576.0,5057.0,0.577,0.698,0.846,0.748,0.762
id4311,Jornal,CORREIO DE MIRASSOL,MIRASSOL,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.53,11.98,75.76,12.5,9.4,0.86,2.4,0.43,8.5,6.13,841.27,53576.0,5057.0,0.577,0.698,0.846,0.748,0.762
id4312,Jornal,A MOCOCA,MOCOCA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.85,11.69,74.63,15.3,9.24,0.82,3.78,0.53,14.61,9.35,881.99,65734.0,6124.0,0.584,0.709,0.827,0.756,0.762
id4313,Jornal,O DESTAQUE,MOCOCA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.85,11.69,74.63,15.3,9.24,0.82,3.78,0.53,14.61,9.35,881.99,65734.0,6124.0,0.584,0.709,0.827,0.756,0.762
id3303,Online,TV MOGI NEWS,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id3304,Online,CLUBE DO JORNALISMO,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id3305,Online,BOMBARCO,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id3306,Online,WEB DAT TV,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id3307,Online,MOGI NEWS,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id3308,Online,OLHAR DO MESSIAS,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id3309,Online,O DIARIO (EX-DIARIO DE MOGI),MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4314,Jornal,RADIO REVISTA,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4315,Jornal,A SEMANA,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4316,Jornal,O DIARIO (EX-DIÁRIO DE MOGI),MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4317,Jornal,FOLHA IMPRESSO BRASIL,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4318,Jornal,O DIA DE MOGI DAS CRUZES,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4319,Jornal,FOLHA DE MOGI,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4320,Jornal,JORNAL SETE,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4321,Jornal,DIARIO DO ALTO TIETE,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4322,Jornal,MOGI NEWS,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Secom/PR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id4954,Online,G1,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Atlas,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id5668,Jornal,DIÁRIO DE MOGI,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,Central de Diários,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id5754,Jornal,O DIÁRIO,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,APJ,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id5763,Jornal,GRUPO CIDADE VIVA,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,GPI/PROJOR,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id5834,Jornal,O DIÁRIO DE MOGI,MOGI DAS CRUZES,RM São Paulo,SP,São Paulo,Sudeste,Brasil,ANJ,3.95,16.28,76.07,12.23,6.8,1.93,7.06,0.54,15.66,10.67,916.81,386276.0,26358.0,0.662,0.74,0.851,0.762,0.783
id3310,Online,JORNAL CIDADE DE MOGI GUAÇU,MOGI GUAÇU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
id3311,Online,PORTAL MOGI GUAÇU,MOGI GUAÇU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
id4323,Jornal,TRIBUNA DO GUAÇU,MOGI GUAÇU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
id4324,Jornal,CORREIO DO POVO,MOGI GUAÇU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
id4325,Jornal,JORNAL CIDADE,MOGI GUAÇU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
id4326,Jornal,GAZETA GUAÇUANA,MOGI GUAÇU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
id4327,Jornal,O REGIONAL,MOGI GUAÇU,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.31,10.46,76.1,13.41,7.75,0.56,2.94,0.44,9.03,6.43,802.19,136821.0,10640.0,0.598,0.736,0.852,0.74,0.774
id217,Jornal,FOLHA DE MOMBAÇA,MOMBAÇA,n/d,CE,Ceará,Nordeste,Brasil,Secom/PR,34.02,2.66,69.09,29.3,9.82,27.66,45.53,0.54,20.06,13.21,243.85,42562.0,4193.0,0.288,0.489,0.735,0.549,0.582
id4331,Jornal,CIDADE DE MONGAGUA,MONGAGUÁ,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,4.85,8.88,76.24,12.9,9.65,2.87,9.72,0.5,12.84,9.15,699.73,44770.0,4468.0,0.581,0.699,0.854,0.719,0.754
id464,Jornal,O CENÁRIO,MONTANHA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,17.39,6.13,73.96,15.5,9.71,3.68,14.05,0.52,14.04,9.38,547.46,17637.0,1734.0,0.376,0.535,0.816,0.679,0.667
id465,Jornal,TRIBUNA CAPIXABA,MONTANHA,n/d,ES,Espírito Santo,Sudeste,Brasil,Secom/PR,17.39,6.13,73.96,15.5,9.71,3.68,14.05,0.52,14.04,9.38,547.46,17637.0,1734.0,0.376,0.535,0.816,0.679,0.667
id1401,Online,TCN NEWS - TRIBUNA DA CALHA NORTE,MONTE ALEGRE,n/d,PA,Pará,Norte,Brasil,Secom/PR,14.27,2.92,70.86,24.4,6.23,31.58,51.73,0.59,25.34,18.25,231.65,55260.0,3457.0,0.364,0.495,0.764,0.541,0.589
id1416,Jornal,TRIBUNA DA CALHA NORTE,MONTE ALEGRE,n/d,PA,Pará,Norte,Brasil,Secom/PR,14.27,2.92,70.86,24.4,6.23,31.58,51.73,0.59,25.34,18.25,231.65,55260.0,3457.0,0.364,0.495,0.764,0.541,0.589
id4332,Jornal,TEMPO,MONTE ALTO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.19,10.9,76.56,12.4,10.21,0.35,2.07,0.42,8.03,5.8,832.6,46499.0,4764.0,0.546,0.707,0.859,0.746,0.768
id4333,Jornal,O IMPARCIAL,MONTE ALTO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.19,10.9,76.56,12.4,10.21,0.35,2.07,0.42,8.03,5.8,832.6,46499.0,4764.0,0.546,0.707,0.859,0.746,0.768
id4334,Jornal,CIDADE SONHO,MONTE ALTO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.19,10.9,76.56,12.4,10.21,0.35,2.07,0.42,8.03,5.8,832.6,46499.0,4764.0,0.546,0.707,0.859,0.746,0.768
id4335,Jornal,JORNAL DE MONTE,MONTE APRAZÍVEL,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,5.74,13.81,76.64,11.4,11.02,0.14,1.46,0.5,12.58,8.01,1032.05,21662.0,2397.0,0.56,0.72,0.861,0.781,0.785
id4336,Jornal,A CIDADE,MONTE AZUL PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,8.06,9.92,75.56,12.8,9.86,0.07,2.13,0.46,10.11,6.98,765.11,18862.0,1866.0,0.502,0.69,0.843,0.733,0.753
id4337,Jornal,A COMARCA,MONTE AZUL PAULISTA,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,8.06,9.92,75.56,12.8,9.86,0.07,2.13,0.46,10.11,6.98,765.11,18862.0,1866.0,0.502,0.69,0.843,0.733,0.753
id4338,Jornal,JORNAL DE MONTE MOR,MONTE MOR,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,7.06,7.27,76.78,12.2,5.98,1.53,6.57,0.44,9.35,6.81,674.23,48724.0,2926.0,0.541,0.639,0.863,0.713,0.733
id2358,Online,JORNAL IBIÁ,MONTENEGRO,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,3.75,9.74,76.94,11.0,8.32,0.82,4.87,0.5,12.53,8.66,914.23,58537.0,4943.0,0.575,0.654,0.866,0.761,0.755
id2583,Jornal,JORNAL DE IBIA,MONTENEGRO,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,3.75,9.74,76.94,11.0,8.32,0.82,4.87,0.5,12.53,8.66,914.23,58537.0,4943.0,0.575,0.654,0.866,0.761,0.755
id2584,Jornal,BEM ESTAR,MONTENEGRO,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Secom/PR,3.75,9.74,76.94,11.0,8.32,0.82,4.87,0.5,12.53,8.66,914.23,58537.0,4943.0,0.575,0.654,0.866,0.761,0.755
id5000,Jornal,JORNAL IBIÁ,MONTENEGRO,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Atlas,3.75,9.74,76.94,11.0,8.32,0.82,4.87,0.5,12.53,8.66,914.23,58537.0,4943.0,0.575,0.654,0.866,0.761,0.755
id5264,Jornal,JORNAL O PROGRESSO,MONTENEGRO,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,3.75,9.74,76.94,11.0,8.32,0.82,4.87,0.5,12.53,8.66,914.23,58537.0,4943.0,0.575,0.654,0.866,0.761,0.755
id5731,Jornal,JORNAL DE IBIÁ,MONTENEGRO,RM Porto Alegre,RS,Rio Grande do Sul,Sul,Brasil,Central de Diários,3.75,9.74,76.94,11.0,8.32,0.82,4.87,0.5,12.53,8.66,914.23,58537.0,4943.0,0.575,0.654,0.866,0.761,0.755
id1756,Jornal,MORRETES CIDADES,MORRETES,n/d,PR,Paraná,Sul,Brasil,Secom/PR,6.77,6.57,75.22,12.4,8.77,2.74,10.87,0.53,15.31,10.34,665.51,15642.0,1379.0,0.462,0.544,0.837,0.71,0.686
id1757,Jornal,MORRETES NOTICIAS,MORRETES,n/d,PR,Paraná,Sul,Brasil,Secom/PR,6.77,6.57,75.22,12.4,8.77,2.74,10.87,0.53,15.31,10.34,665.51,15642.0,1379.0,0.462,0.544,0.837,0.71,0.686
id655,Jornal,HORA EXTRA,MORRINHOS,n/d,GO,Goiás,Centro-Oeste,Brasil,Secom/PR,8.05,8.99,76.69,12.3,9.2,0.47,2.73,0.49,11.74,7.82,792.66,41208.0,3815.0,0.478,0.621,0.862,0.739,0.734
id4339,Jornal,A TRIBUNA,MORRO AGUDO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,8.43,6.02,75.15,14.5,6.02,1.14,4.91,0.45,9.76,6.81,687.37,29050.0,1754.0,0.449,0.604,0.836,0.716,0.712
id4340,Jornal,O MOMENTO,MORRO AGUDO,n/d,SP,São Paulo,Sudeste,Brasil,Secom/PR,8.43,6.02,75.15,14.5,6.02,1.14,4.91,0.45,9.76,6.81,687.37,29050.0,1754.0,0.449,0.604,0.836,0.716,0.712
id3095,Jornal,FOLHA DA FUMAÇA,MORRO DA FUMAÇA,n/d,SC,Santa Catarina,Sul,Brasil,Secom/PR,5.37,6.05,74.51,14.3,5.28,,2.08,0.36,6.03,4.62,759.25,16097.0,851.0,0.483,0.665,0.825,0.732,0.738
id154,Jornal,CORREIO DO SERTAO,MORRO DO CHAPÉU,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,22.0,2.66,70.98,24.5,7.63,20.15,43.04,0.51,14.45,10.1,250.88,35091.0,2682.0,0.315,0.478,0.766,0.554,0.588
id2250,Online,O MOSSOROENSE,MOSSORÓ,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,13.8,9.89,73.64,17.91,6.33,3.72,12.81,0.52,14.63,9.93,600.28,258460.0,16437.0,0.565,0.663,0.811,0.694,0.72
id2251,Online,DEFATO.COM,MOSSORÓ,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,13.8,9.89,73.64,17.91,6.33,3.72,12.81,0.52,14.63,9.93,600.28,258460.0,16437.0,0.565,0.663,0.811,0.694,0.72
id2252,Online,GAZETA DO OESTE,MOSSORÓ,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,13.8,9.89,73.64,17.91,6.33,3.72,12.81,0.52,14.63,9.93,600.28,258460.0,16437.0,0.565,0.663,0.811,0.694,0.72
id2266,Jornal,O MOSSOROENSE,MOSSORÓ,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,13.8,9.89,73.64,17.91,6.33,3.72,12.81,0.52,14.63,9.93,600.28,258460.0,16437.0,0.565,0.663,0.811,0.694,0.72
id2267,Jornal,JORNAL DE FATO,MOSSORÓ,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,13.8,9.89,73.64,17.91,6.33,3.72,12.81,0.52,14.63,9.93,600.28,258460.0,16437.0,0.565,0.663,0.811,0.694,0.72
id2268,Jornal,GAZETA DO OESTE,MOSSORÓ,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,13.8,9.89,73.64,17.91,6.33,3.72,12.81,0.52,14.63,9.93,600.28,258460.0,16437.0,0.565,0.663,0.811,0.694,0.72
id2269,Jornal,CORREIO DA TARDE,MOSSORÓ,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,13.8,9.89,73.64,17.91,6.33,3.72,12.81,0.52,14.63,9.93,600.28,258460.0,16437.0,0.565,0.663,0.811,0.694,0.72
id5265,Jornal,FREGUESIA DAS ÁGUAS,MOSTARDAS,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,11.25,3.9,75.94,11.5,10.46,3.92,11.7,0.55,16.44,10.21,627.16,12078.0,1268.0,0.346,0.493,0.849,0.701,0.664
id5266,Jornal,O JORNAL DE MUÇUM,MUÇUM,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4.47,7.45,75.38,13.0,15.38,0.39,2.5,0.39,7.16,5.32,887.43,4777.0,737.0,0.455,0.654,0.84,0.757,0.746
id5267,Jornal,PRINCESA DA PONTE,MUÇUM,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,4.47,7.45,75.38,13.0,15.38,0.39,2.5,0.39,7.16,5.32,887.43,4777.0,737.0,0.455,0.654,0.84,0.757,0.746
id155,Jornal,EXTREMO SUL AGORA,MUCURI,n/d,BA,Bahia,Nordeste,Brasil,Secom/PR,18.26,6.8,73.05,19.0,5.0,8.52,22.95,0.57,19.77,13.25,546.41,35739.0,1801.0,0.468,0.541,0.801,0.679,0.665
id1253,Jornal,TRIBUNA DO POVO,MUNDO NOVO,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR,11.81,9.89,73.48,20.6,8.75,3.69,10.2,0.5,12.89,9.09,652.56,16947.0,1491.0,0.433,0.565,0.808,0.707,0.686
id1254,Jornal,O LIBERAL,MUNDO NOVO,n/d,MS,Mato Grosso do Sul,Centro-Oeste,Brasil,Secom/PR,11.81,9.89,73.48,20.6,8.75,3.69,10.2,0.5,12.89,9.09,652.56,16947.0,1491.0,0.433,0.565,0.808,0.707,0.686
id5268,Jornal,CORREIO REGIONAL,NÃO-ME-TOQUE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,3.79,9.46,75.8,12.5,9.84,0.74,2.2,0.5,12.18,8.04,1051.05,15826.0,1568.0,0.562,0.673,0.847,0.784,0.765
id5269,Jornal,A FOLHA,NÃO-ME-TOQUE,n/d,RS,Rio Grande do Sul,Sul,Brasil,Adjori-Rs,3.79,9.46,75.8,12.5,9.84,0.74,2.2,0.5,12.18,8.04,1051.05,15826.0,1568.0,0.562,0.673,0.847,0.784,0.765
id2253,Online,NO MINUTO.COM,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2254,Online,DIARIO DE NATAL,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2255,Online,COMPANHIA DA NOTÍCIA,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2256,Online,TRIBUNA DO NORTE,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2257,Online,PORTAL NOAR,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2258,Online,FALA RN,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2259,Online,PORTAL JH,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2260,Online,NOVO JORNAL,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2261,Online,NOSSA CIÊNCIA,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2262,Online,DN ONLINE,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2270,Jornal,NOVO JORNAL,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2271,Jornal,TRIBUNA DO NORTE,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2272,Jornal,DIARIO DE NATAL,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2273,Jornal,CORREIO POPULAR DA ZONA NORTE,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2274,Jornal,JORNAL DE HOJE (VESPERTINO),NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
id2275,Jornal,O POTY,NATAL,n/d,RN,Rio Grande do Norte,Nordeste,Brasil,Secom/PR,8.33,14.87,75.08,14.35,7.02,2.92,10.5,0.61,23.97,15.74,950.34,797986.0,56441.0,0.659,0.694,0.835,0.768,0.763
