codmun,cidade,uf,regiao,pop_dou_2017
1711902,LAGOA DA CONFUSÃO,TO,Norte,12808
1711951,LAGOA DO TOCANTINS,TO,Norte,4191
1712009,LAJEADO,TO,Norte,3092
1712157,LAVANDEIRA,TO,Norte,1875
1712405,LIZARDA,TO,Norte,3787
1712454,LUZINÓPOLIS,TO,Norte,3038
1712504,MARIANÓPOLIS DO TOCANTINS,TO,Norte,5054
1712702,MATEIROS,TO,Norte,2614
1712801,MAURILÂNDIA DO TOCANTINS,TO,Norte,3409
1713304,MIRANORTE,TO,Norte,13426
1713601,MONTE DO CARMO,TO,Norte,7770
1713700,MONTE SANTO DO TOCANTINS,TO,Norte,2264
1713809,PALMEIRAS DO TOCANTINS,TO,Norte,6535
1713957,MURICILÂNDIA,TO,Norte,3507
1714203,NATIVIDADE,TO,Norte,9312
1714880,NOVA OLINDA,TO,Norte,11715
1715002,NOVA ROSALÂNDIA,TO,Norte,4203
1715101,NOVO ACORDO,TO,Norte,4267
1715150,NOVO ALEGRE,TO,Norte,2353
1715259,NOVO JARDIM,TO,Norte,2697
1715507,OLIVEIRA DE FÁTIMA,TO,Norte,1110
1715705,PALMEIRANTE,TO,Norte,5859
1715754,PALMEIRÓPOLIS,TO,Norte,7687
1716208,PARANÃ,TO,Norte,10562
1716307,PAU D'ARCO,TO,Norte,4853
1716604,PEIXE,TO,Norte,11591
1716653,PEQUIZEIRO,TO,Norte,5453
1716703,COLMÉIA,TO,Norte,8409
1717008,PINDORAMA DO TOCANTINS,TO,Norte,4520
1717206,PIRAQUÊ,TO,Norte,3044
1717503,PIUM,TO,Norte,7536
1717800,PONTE ALTA DO BOM JESUS,TO,Norte,4645
1717909,PONTE ALTA DO TOCANTINS,TO,Norte,7949
1718006,PORTO ALEGRE DO TOCANTINS,TO,Norte,3102
1718303,PRAIA NORTE,TO,Norte,8365
1718402,PRESIDENTE KENNEDY,TO,Norte,3733
1718451,PUGMIL,TO,Norte,2650
1718501,RECURSOLÂNDIA,TO,Norte,4230
1718550,RIACHINHO,TO,Norte,4601
1718659,RIO DA CONCEIÇÃO,TO,Norte,2061
1718709,RIO DOS BOIS,TO,Norte,2810
1718758,RIO SONO,TO,Norte,6512
1718808,SAMPAIO,TO,Norte,4579
1718840,SANDOLÂNDIA,TO,Norte,3410
1718865,SANTA FÉ DO ARAGUAIA,TO,Norte,7402
1718881,SANTA MARIA DO TOCANTINS,TO,Norte,3356
1718899,SANTA RITA DO TOCANTINS,TO,Norte,2343
1718907,SANTA ROSA DO TOCANTINS,TO,Norte,4833
1719004,SANTA TEREZA DO TOCANTINS,TO,Norte,2825
1720002,SANTA TEREZINHA DO TOCANTINS,TO,Norte,2550
1720101,SÃO BENTO DO TOCANTINS,TO,Norte,5231
1720150,SÃO FÉLIX DO TOCANTINS,TO,Norte,1571
1720200,SÃO MIGUEL DO TOCANTINS,TO,Norte,11906
1720259,SÃO SALVADOR DO TOCANTINS,TO,Norte,3084
1720309,SÃO SEBASTIÃO DO TOCANTINS,TO,Norte,4749
1720655,SILVANÓPOLIS,TO,Norte,5399
1720804,SÍTIO NOVO DO TOCANTINS,TO,Norte,9192
1720853,SUCUPIRA,TO,Norte,1941
1720903,TAGUATINGA,TO,Norte,16530
1720937,TAIPAS DO TOCANTINS,TO,Norte,2130
1720978,TALISMÃ,TO,Norte,2777
1721109,TOCANTÍNIA,TO,Norte,7460
1721257,TUPIRAMA,TO,Norte,1843
1721307,TUPIRATINS,TO,Norte,2574
1722081,WANDERLÂNDIA,TO,Norte,11677
1722107,XAMBIOÁ,TO,Norte,11683
2100105,AFONSO CUNHA,MA,Nordeste,6486
2100154,ÁGUA DOCE DO MARANHÃO,MA,Nordeste,12457
2100204,ALCÂNTARA,MA,Nordeste,21673
2100402,ALTAMIRA DO MARANHÃO,MA,Nordeste,8070
2100436,ALTO ALEGRE DO MARANHÃO,MA,Nordeste,26872
2100477,ALTO ALEGRE DO PINDARÉ,MA,Nordeste,31312
2100550,AMAPÁ DO MARANHÃO,MA,Nordeste,6895
2100808,ANAPURUS,MA,Nordeste,15696
2100873,ARAGUANÃ,MA,Nordeste,15332
2100956,ARAME,MA,Nordeste,32145
2101004,ARARI,MA,Nordeste,29388
2101103,AXIXÁ,MA,Nordeste,11975
2101251,BACABEIRA,MA,Nordeste,17053
2101301,BACURI,MA,Nordeste,17435
2101350,BACURITUBA,MA,Nordeste,5574
2101509,BARÃO DE GRAJAÚ,MA,Nordeste,18619
2101707,BARREIRINHAS,MA,Nordeste,62458
2101731,BELÁGUA,MA,Nordeste,7422
2101772,BELA VISTA DO MARANHÃO,MA,Nordeste,11103
2101905,BEQUIMÃO,MA,Nordeste,20881
2101939,BERNARDO DO MEARIM,MA,Nordeste,5973
2101970,BOA VISTA DO GURUPI,MA,Nordeste,9320
2102002,BOM JARDIM,MA,Nordeste,41120
2102036,BOM JESUS DAS SELVAS,MA,Nordeste,34278
2102077,BOM LUGAR,MA,Nordeste,16214
2102150,BREJO DE AREIA,MA,Nordeste,8696
2102200,BURITI,MA,Nordeste,28306
2102325,BURITICUPU,MA,Nordeste,71979
2102358,BURITIRANA,MA,Nordeste,15180
2102374,CACHOEIRA GRANDE,MA,Nordeste,8930
2102408,CAJAPIÓ,MA,Nordeste,11019
2102507,CAJARI,MA,Nordeste,19110
2102556,CAMPESTRE DO MARANHÃO,MA,Nordeste,14219
2102606,CÂNDIDO MENDES,MA,Nordeste,19943
2102754,CAPINZAL DO NORTE,MA,Nordeste,10713
2102903,CARUTAPERA,MA,Nordeste,23576
2103109,CEDRAL,MA,Nordeste,10490
2103125,CENTRAL DO MARANHÃO,MA,Nordeste,8615
2103158,CENTRO DO GUILHERME,MA,Nordeste,13555
2103174,CENTRO NOVO DO MARANHÃO,MA,Nordeste,21565
2103257,CIDELÂNDIA,MA,Nordeste,14539
2103554,CONCEIÇÃO DO LAGO-AÇU,MA,Nordeste,16192
2103703,CURURUPU,MA,Nordeste,30706
2103752,DAVINÓPOLIS,MA,Nordeste,12659
2103901,DUQUE BACELAR,MA,Nordeste,11208
2104057,ESTREITO,MA,Nordeste,42110
2104073,FEIRA NOVA DO MARANHÃO,MA,Nordeste,8372
2104081,FERNANDO FALCÃO,MA,Nordeste,10326
2104099,FORMOSA DA SERRA NEGRA,MA,Nordeste,18997
2104107,FORTALEZA DOS NOGUEIRAS,MA,Nordeste,12403
2104206,FORTUNA,MA,Nordeste,15262
2104305,GODOFREDO VIANA,MA,Nordeste,11830
2104503,GOVERNADOR ARCHER,MA,Nordeste,10700
2104552,GOVERNADOR EDISON LOBÃO,MA,Nordeste,18316
2104628,GOVERNADOR LUIZ ROCHA,MA,Nordeste,7708
2104651,GOVERNADOR NEWTON BELLO,MA,Nordeste,9921
2104677,GOVERNADOR NUNES FREIRE,MA,Nordeste,24991
2104909,GUIMARÃES,MA,Nordeste,11728
2105005,HUMBERTO DE CAMPOS,MA,Nordeste,28509
2105104,ICATU,MA,Nordeste,26835
2105153,IGARAPÉ DO MEIO,MA,Nordeste,14147
2105203,IGARAPÉ GRANDE,MA,Nordeste,11206
2105351,ITAIPAVA DO GRAJAÚ,MA,Nordeste,16009
2105427,ITINGA DO MARANHÃO,MA,Nordeste,25589
2105450,JATOBÁ,MA,Nordeste,10221
2105476,JENIPAPO DOS VIEIRAS,MA,Nordeste,16321
2105658,JUNCO DO MARANHÃO,MA,Nordeste,3237
2105906,LAGO VERDE,MA,Nordeste,16025
2105922,LAGOA DO MATO,MA,Nordeste,11048
2105948,LAGO DOS RODRIGUES,MA,Nordeste,8664
2105963,LAGOA GRANDE DO MARANHÃO,MA,Nordeste,11286
2105989,LAJEADO NOVO,MA,Nordeste,7489
2106102,LORETO,MA,Nordeste,12009
2106201,LUÍS DOMINGUES,MA,Nordeste,6867
2106326,MARACAÇUMÉ,MA,Nordeste,21293
2106359,MARAJÁ DO SENA,MA,Nordeste,7604
2106375,MARANHÃOZINHO,MA,Nordeste,16366
2106607,MATÕES,MA,Nordeste,33374
2106631,MATÕES DO NORTE,MA,Nordeste,16908
2106672,MILAGRES DO MARANHÃO,MA,Nordeste,8326
2106755,MIRANDA DO NORTE,MA,Nordeste,28456
2106805,MIRINZAL,MA,Nordeste,14744
2107001,MONTES ALTOS,MA,Nordeste,8889
2107100,MORROS,MA,Nordeste,19282
2107209,NINA RODRIGUES,MA,Nordeste,14489
2107258,NOVA COLINAS,MA,Nordeste,5350
2107308,NOVA IORQUE,MA,Nordeste,4586
2107357,NOVA OLINDA DO MARANHÃO,MA,Nordeste,20768
2107407,OLHO D'ÁGUA DAS CUNHÃS,MA,Nordeste,19206
2107456,OLINDA NOVA DO MARANHÃO,MA,Nordeste,14637
2107506,PAÇO DO LUMIAR,MA,Nordeste,122420
2107605,PALMEIRÂNDIA,MA,Nordeste,19424
2107803,PARNARAMA,MA,Nordeste,34375
2108058,PAULINO NEVES,MA,Nordeste,15937
