cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
MAXIMILIANO DE ALMEIDA,RS,Sul,1,4312203,4804,20
MAÇAMBARÁ,RS,Sul,2,4311718,4804,41
MEDEIROS,MG,Sudeste,1,3141306,3765,26
MEDEIROS NETO,BA,Nordeste,2,2921104,23586,8
MEDINA,MG,Sudeste,1,3141405,21409,4
MENDES,RJ,Sudeste,1,3302809,18123,5
MENDES PIMENTEL,MG,Sudeste,1,3141504,6564,15
MERCÊS,MG,Sudeste,1,3141603,10868,9
MESQUITA,MG,Sudeste,1,3141702,5911,16
MIGUEL ALVES,PI,Nordeste,1,2206209,33209,3
MIGUEL CALMON,BA,Nordeste,2,2921203,27520,7
MIGUELÓPOLIS,SP,Sudeste,1,3529708,21973,4
MILAGRES,BA,Nordeste,1,2921302,11585,8
MIMOSO DO SUL,ES,Sudeste,1,3203403,27388,3
MINAS NOVAS,MG,Sudeste,2,3141801,32009,6
MINDURI,MG,Sudeste,2,3141900,3970,50
MIRACATU,SP,Sudeste,1,3529906,20288,4
MIRACEMA DO TOCANTINS,TO,Norte,2,1713205,19055,10
MIRADOR,MA,Nordeste,1,2106706,20613,4
MIRADOURO,MG,Sudeste,1,3142106,10837,9
MIRAGUAÍ,RS,Sul,1,4312302,4975,20
MIRANDIBA,PE,Nordeste,1,2609303,15270,6
MIRANDÓPOLIS,SP,Sudeste,2,3530102,29315,6
MIRANGABA,BA,Nordeste,1,2921401,18729,5
MIRANTE DA SERRA,RO,Norte,1,1101302,12258,8
MIRANTE DO PARANAPANEMA,SP,Sudeste,1,3530201,18130,5
MIRASSOL D'OESTE,MT,Centro-Oeste,1,5105622,26768,3
MIRAÍ,MG,Sudeste,2,3142205,14946,13
MOCAJUBA,PA,Norte,1,1504604,30277,3
MODELO,SC,Sul,2,4210902,4192,47
MOEDA,MG,Sudeste,1,3142304,4957,20
MOEMA,MG,Sudeste,1,3142403,7525,13
MOIPORÁ,GO,Centro-Oeste,1,5213400,1666,60
MONDAÍ,SC,Sul,2,4211009,11496,17
MONGAGUÁ,SP,Sudeste,2,3531100,54257,3
MONSENHOR PAULO,MG,Sudeste,1,3142601,8711,11
MONSENHOR TABOSA,CE,Nordeste,1,2308609,17038,5
MONTALVÂNIA,MG,Sudeste,1,3142700,15603,6
MONTANHA,ES,Sudeste,2,3203502,19391,10
MONTANHAS,RN,Nordeste,1,2407708,11503,8
MONTE ALEGRE DE MINAS,MG,Sudeste,2,3142809,21095,9
MONTE ALEGRE DO SUL,SP,Sudeste,1,3531209,7871,12
MONTE APRAZÍVEL,SP,Sudeste,2,3531407,24393,8
MONTE AZUL,MG,Sudeste,1,3142908,21783,4
MONTE BELO,MG,Sudeste,2,3143005,13453,14
MONTE CARLO,SC,Sul,1,4211058,9785,10
MONTE CASTELO,SC,Sul,1,4211108,8471,11
MONTE MOR,SP,Sudeste,1,3531803,57240,1
MONTE SANTO,BA,Nordeste,1,2921500,51953,1
MONTE SIÃO,MG,Sudeste,2,3143401,23444,8
MONTEIRO,PB,Nordeste,2,2509701,33294,6
MONTES CLAROS DE GOIÁS,GO,Centro-Oeste,1,5213707,8236,12
MONTIVIDIU,GO,Centro-Oeste,1,5213756,12566,7
MONÇÃO,MA,Nordeste,1,2106904,33156,3
MORADA NOVA,CE,Nordeste,2,2308708,61548,3
MORADA NOVA DE MINAS,MG,Sudeste,1,3143500,8860,11
MOREIRA SALES,PR,Sul,1,4116109,12621,7
MORRETES,PR,Sul,2,4116208,16540,12
