id,segmento_principal,nome,cidade,regiao_metropolitana,uf,estado,regiao,pais,fonte,jornalismo
6393,Televisão,PREFEITURA MUNICIPAL DE ITAMBE,ITAMBÉ,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
8186,Televisão,PREFEITURA MUNICIPAL DE ITAMBE DO MATO DENTRO,ITAMBÉ DO MATO DENTRO,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
8396,Televisão,ITAMONTE PREFEITURA,ITAMONTE,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7844,Televisão,PREFEITURA MUNICIPAL DE ITANHANDU,ITANHANDU,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7843,Televisão,PREFEITURA MUNICIPAL DE ITANHOMI,ITANHOMI,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7842,Televisão,PREFEITURA MUNICIPAL DE ITAOBIM,ITAOBIM,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
10182,Televisão,PREFEITURA MUNICIPAL DE ITAOCARA,ITAOCARA,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,MCTIC,0
7082,Televisão,PREFEITURA MUNICIPAL DE ITAPACI,ITAPACI,n/d,GO,Goiás,Centro-Oeste,Brasil,MCTIC,0
8442,Televisão,PREFEITURA MUNICIPAL DE ITAPAGIPE,ITAPAGIPE,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
6392,Televisão,PREFEITURA MUNICIPAL DE ITAPEBI,ITAPEBI,n/d,BA,Bahia,Nordeste,Brasil,MCTIC,0
7841,Rádio,PREFEITURA MUNICIPAL DE ITAPECERICA,ITAPECERICA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
8269,Televisão,PREFEITURA MUNICIPAL DE ITAPECERICA,ITAPECERICA,n/d,MG,Minas Gerais,Sudeste,Brasil,MCTIC,0
7450,Televisão,PREFEITURA MUNICIPAL DE ITAPECURU-MIRIM,ITAPECURU MIRIM,n/d,MA,Maranhão,Nordeste,Brasil,MCTIC,0
6957,Televisão,PREFEITURA MUNICIPAL DE ITAPEMIRIM,ITAPEMIRIM,n/d,ES,Espírito Santo,Sudeste,Brasil,MCTIC,0
10093,Televisão,PREFEITURA MUNICIPAL DE ITAPERUNA,ITAPERUNA,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,MCTIC,0
12113,Televisão,PREFEITURA MUNICIPAL DE ITAPETININGA,ITAPETININGA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
12391,Televisão,PREFEITURA MUNICIPAL DE ITAPEVA,ITAPEVA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
12114,Televisão,PREFEITURA MUNICIPAL DE ITAPIRA,ITAPIRA,n/d,SP,São Paulo,Sudeste,Brasil,MCTIC,0
11226,Televisão,PREFEITURA MUNICIPAL DE ITAPIRANGA,ITAPIRANGA,n/d,SC,Santa Catarina,Sul,Brasil,MCTIC,0
7180,Televisão,PREFEITURA MUNICIPAL DE ITAPIRAPUA,ITAPIRAPUÃ,n/d,GO,Goiás,Centro-Oeste,Brasil,MCTIC,0
